step,a_km,e,i_deg,Omega_deg,omega_deg,nu_deg,period_s,r_apogee_km,r_perigee_km
0,41571.0,0.8371220321858989,0,0,0,0,84352.29997792745,76371.0,6770.999999999998
1,41579.00070488519,0.8367685299138763,0,0,0,0,84376.65266353817,76371.0,6787.001409770383
2,41587.01316774407,0.8364146444456668,0,0,0,0,84401.04348654882,76371.0,6803.02633548815
3,41595.03740039214,0.8360603757812708,0,0,0,0,84425.47249305101,76371.0,6819.074800784274
4,41603.073414668725,0.8357057239206884,0,0,0,0,84449.93972923605,76371.0,6835.146829337451
5,41611.12122243712,0.8353506888639188,0,0,0,0,84474.4452413954,76371.0,6851.2424448742395
6,41619.180835584506,0.8349952706109631,0,0,0,0,84498.98907592059,76371.0,6867.361671169011
7,41627.252266022115,0.8346394691618204,0,0,0,0,84523.57127930372,76371.0,6883.504532044231
8,41635.3355256852,0.8342832845164911,0,0,0,0,84548.19189813756,76371.0,6899.671051370403
9,41643.43062653312,0.8339267166749755,0,0,0,0,84572.85097911573,76371.0,6915.861253066236
10,41651.53758054938,0.8335697656372729,0,0,0,0,84597.54856903305,76371.0,6932.075161098768
11,41659.656399741696,0.8332124314033835,0,0,0,0,84622.2847147857,76371.0,6948.31279948339
12,41667.78709614198,0.8328547139733078,0,0,0,0,84647.0594633713,76371.0,6964.574192283966
13,41675.92968180649,0.8324966133470453,0,0,0,0,84671.8728618895,76371.0,6980.859363612984
14,41684.084168815796,0.832138129524596,0,0,0,0,84696.7249575418,76371.0,6997.168337631596
15,41692.25056927485,0.8317792625059606,0,0,0,0,84721.61579763207,76371.0,7013.501138549701
16,41700.42889531308,0.8314200122911377,0,0,0,0,84746.54542956666,76371.0,7029.857790626165
17,41708.61915908436,0.8310603788801287,0,0,0,0,84771.5139008546,76371.0,7046.2383181687155
18,41716.82137276712,0.8307003622729332,0,0,0,0,84796.52125910787,76371.0,7062.64274553423
19,41725.03554856438,0.8303399624695507,0,0,0,0,84821.56755204174,76371.0,7079.071097128765
20,41733.26169870381,0.8299791794699813,0,0,0,0,84846.65282747481,76371.0,7095.523397407623
21,41741.49983543773,0.8296180132742257,0,0,0,0,84871.7771333293,76371.0,7111.9996708754625
22,41749.74997104323,0.8292564638822832,0,0,0,0,84896.94051763137,76371.0,7128.499942086464
23,41758.012117822174,0.8288945312941542,0,0,0,0,84922.14302851129,76371.0,7145.02423564435
24,41766.28628810127,0.8285322155098385,0,0,0,0,84947.38471420365,76371.0,7161.572576202538
25,41774.572494232096,0.8281695165293363,0,0,0,0,84972.66562304764,76371.0,7178.144988464189
26,41782.870748591195,0.8278064343526474,0,0,0,0,84997.98580348729,76371.0,7194.741497182385
27,41791.18106358009,0.8274429689797715,0,0,0,0,85023.34530407168,76371.0,7211.362127160173
28,41799.50345162532,0.8270791204107093,0,0,0,0,85048.74417345512,76371.0,7228.0069032506435
29,41807.83792517855,0.8267148886454605,0,0,0,0,85074.18246039755,76371.0,7244.675850357105
30,41816.18449671658,0.8263502736840247,0,0,0,0,85099.66021376464,76371.0,7261.368993433164
31,41824.54317874138,0.8259852755264023,0,0,0,0,85125.177482528,76371.0,7278.086357482771
32,41832.91398378019,0.8256198941725934,0,0,0,0,85150.7343157656,76371.0,7294.827967560387
33,41841.29692438553,0.8252541296225979,0,0,0,0,85176.33076266183,76371.0,7311.593848771066
34,41849.69201313528,0.8248879818764159,0,0,0,0,85201.96687250784,76371.0,7328.384026270559
35,41858.09926263271,0.824521450934047,0,0,0,0,85227.6426947017,76371.0,7345.198525265424
36,41866.518685506555,0.8241545367954914,0,0,0,0,85253.35827874878,76371.0,7362.0373710131125
37,41874.95029441104,0.823787239460749,0,0,0,0,85279.11367426187,76371.0,7378.900588822089
38,41883.39410202595,0.8234195589298203,0,0,0,0,85304.9089309614,76371.0,7395.788204051904
39,41891.85012105668,0.8230514952027048,0,0,0,0,85330.74409867586,76371.0,7412.700242113369
40,41900.31836423429,0.8226830482794028,0,0,0,0,85356.61922734183,76371.0,7429.636728468587
41,41908.79884431555,0.8223142181599141,0,0,0,0,85382.53436700438,76371.0,7446.5976886310955
42,41917.291574083,0.8219450048442383,0,0,0,0,85408.4895678173,76371.0,7463.583148166001
43,41925.79656634498,0.8215754083323763,0,0,0,0,85434.48488004321,76371.0,7480.593132689963
44,41934.31383393573,0.8212054286243278,0,0,0,0,85460.520354054,76371.0,7497.627667871461
45,41942.84338971541,0.8208350657200925,0,0,0,0,85486.59604033096,76371.0,7514.6867794308155
46,41951.38524657015,0.8204643196196704,0,0,0,0,85512.71198946508,76371.0,7531.770493140294
47,41959.93941741211,0.8200931903230617,0,0,0,0,85538.86825215723,76371.0,7548.8788348242215
48,41968.505915179565,0.8197216778302661,0,0,0,0,85565.06487921857,76371.0,7566.011830359126
49,41977.08475283688,0.8193497821412841,0,0,0,0,85591.30192157051,76371.0,7583.169505673766
50,41985.67594337466,0.8189775032561155,0,0,0,0,85617.57943024531,76371.0,7600.351886749329
51,41994.27949980975,0.8186048411747602,0,0,0,0,85643.89745638616,76371.0,7617.558999619503
52,42002.89543518528,0.8182317958972181,0,0,0,0,85670.25605124736,76371.0,7634.790870370566
53,42011.52376257075,0.8178583674234894,0,0,0,0,85696.65526619472,76371.0,7652.047525141506
54,42020.164495062076,0.8174845557535739,0,0,0,0,85723.09515270573,76371.0,7669.328990124155
55,42028.817645781615,0.8171103608874724,0,0,0,0,85749.57576236982,76371.0,7686.635291563233
56,42037.48322787829,0.8167357828251838,0,0,0,0,85776.09714688874,76371.0,7703.966455756582
