step,a_km,e,i_deg,Omega_deg,omega_deg,nu_deg,period_s,r_apogee_km,r_perigee_km
0,2631571.0,0.997427012229577,45,0,0,0,42484827.466270626,5256371.0,6770.999999999903
1,2631571.0,0.997427012229577,40.90909090909091,0,0,0,42484827.466270626,5256371.0,6770.999999999903
2,2631571.0,0.997427012229577,36.81818181818181,0,0,0,42484827.466270626,5256371.0,6770.999999999903
3,2631571.0,0.997427012229577,32.72727272727272,0,0,0,42484827.466270626,5256371.0,6770.999999999903
4,2631571.0,0.997427012229577,28.63636363636363,0,0,0,42484827.466270626,5256371.0,6770.999999999903
5,2631571.0,0.997427012229577,24.54545454545454,0,0,0,42484827.466270626,5256371.0,6770.999999999903
6,2631571.0,0.997427012229577,20.45454545454545,0,0,0,42484827.466270626,5256371.0,6770.999999999903
7,2631571.0,0.997427012229577,16.36363636363636,0,0,0,42484827.466270626,5256371.0,6770.999999999903
8,2631571.0,0.997427012229577,12.27272727272727,0,0,0,42484827.466270626,5256371.0,6770.999999999903
9,2631571.0,0.997427012229577,8.18181818181818,0,0,0,42484827.466270626,5256371.0,6770.999999999903
10,2631571.0,0.997427012229577,4.090909090909089,0,0,0,42484827.466270626,5256371.0,6770.999999999903
11,2631571.0,0.997427012229577,-1.7763568394002505e-15,0,0,0,42484827.466270626,5256371.0,6770.999999999903
12,2632073.83359096,0.9970454220992311,-1.7763568394002505e-15,0,0,0,42497004.87976833,5256371.0,7776.667181919976
13,2632611.633851847,0.9966374578043089,-1.7763568394002505e-15,0,0,0,42510030.3888406,5256371.0,8852.26770369412
14,2633184.443537607,0.9962031193448107,-1.7763568394002505e-15,0,0,0,42523905.288576074,5256371.0,9997.887075213472
15,2633792.308215216,0.995742406720737,-1.7763568394002505e-15,0,0,0,42538630.959484585,5256371.0,11213.6164304317
16,2634435.2762727696,0.9952553199320866,-1.7763568394002505e-15,0,0,0,42554208.8678186,5256371.0,12499.552545539336
17,2635113.3989291317,0.9947418589788606,-1.7763568394002505e-15,0,0,0,42570640.56591462,5256371.0,13855.797858263386
18,2635826.73024417,0.9942020238610585,-1.7763568394002505e-15,0,0,0,42587927.692555316,5256371.0,15282.460488339912
19,2636575.3271295647,0.9936358145786801,-1.7763568394002505e-15,0,0,0,42606071.97335214,5256371.0,16779.654259129697
20,2637359.2493602014,0.9930432311317263,-1.7763568394002505e-15,0,0,0,42625075.22114873,5256371.0,18347.498720402684
21,2638178.559586154,0.992424273520196,-1.7763568394002505e-15,0,0,0,42644939.33644525,5256371.0,19986.119172307946
22,2639033.3233452546,0.9917789417440899,-1.7763568394002505e-15,0,0,0,42665666.30784385,5256371.0,21695.646690509453
23,2639923.609076266,0.9911072358034076,-1.7763568394002505e-15,0,0,0,42687258.2125154,5256371.0,23476.21815253228
24,2640849.488132651,0.9904091556981496,-1.7763568394002505e-15,0,0,0,42709717.21668779,5256371.0,25327.976265301637
25,2641811.0347969513,0.989684701428315,-1.7763568394002505e-15,0,0,0,42733045.57615589,5256371.0,27251.069593902677
26,2642808.326295777,0.988933872993905,-1.7763568394002505e-15,0,0,0,42757245.63681345,5256371.0,29245.65259155441
27,2643841.4428154184,0.9881566703949187,-1.7763568394002505e-15,0,0,0,42782319.83520717,5256371.0,31311.88563083664
28,2644910.467518073,0.9873530936313566,-1.7763568394002505e-15,0,0,0,42808270.69911314,5256371.0,33449.93503614593
29,2646015.4865587135,0.986523142703218,-1.7763568394002505e-15,0,0,0,42835100.848135956,5256371.0,35659.97311742711
30,2647156.589102582,0.9856668176105037,-1.7763568394002505e-15,0,0,0,42862812.99433063,5256371.0,37942.17820516429
31,2648333.8673433363,0.9847841183532136,-1.7763568394002505e-15,0,0,0,42891409.94284786,5256371.0,40296.73468667244
32,2649264.0,0.9840872785800132,-1.7763568394002505e-15,0,0,0,42914008.03986026,5256371.0,42156.999999999876
33,2505052.837830486,0.9831712132521284,-1.7763568394002505e-15,0,0,0,39458135.2555205,4967948.675660972,42156.99999999978
34,2375759.592324269,0.9822553594495828,-1.7763568394002505e-15,0,0,0,36443070.26013676,4709362.184648538,42156.99999999997
35,2259183.335506119,0.9813397171723757,-1.7763568394002505e-15,0,0,0,33793909.367505714,4476209.671012238,42156.99999999988
36,2153535.7997964933,0.9804242864205073,-1.7763568394002505e-15,0,0,0,31451355.301979072,4264914.5995929865,42156.99999999994
37,2057348.994263935,0.9795090671939777,-1.7763568394002505e-15,0,0,0,29367919.02941052,4072540.98852787,42156.99999999989
38,1969406.5759826635,0.9785940594927865,-1.7763568394002505e-15,0,0,0,27505167.672132432,3896656.151965327,42156.99999999984
39,1888692.1430323236,0.9776792633169341,-1.7763568394002505e-15,0,0,0,25831699.605059035,3735227.2860646476,42156.99999999991
40,1814349.773552513,0.9767646786664205,-1.7763568394002505e-15,0,0,0,24321633.70169227,3586542.5471050264,42156.99999999989
41,1745653.5556588664,0.9758503055412456,-1.7763568394002505e-15,0,0,0,22953467.76605554,3449150.111317733,42156.99999999978
42,1681983.8057420617,0.9749361439414092,-1.7763568394002505e-15,0,0,0,21709205.82823805,3321810.6114841234,42156.99999999987
43,1622808.3227668528,0.9740221938669115,-1.7763568394002505e-15,0,0,0,20573683.796032794,3203459.645533706,42156.99999999986
44,1567667.4768270168,0.9731084553177525,-1.7763568394002505e-15,0,0,0,19534043.20180203,3093177.9536540336,42156.999999999956
45,1516162.2471485983,0.9721949282939321,-1.7763568394002505e-15,0,0,0,18579316.745017994,2990167.4942971966,42156.999999999876
46,1467944.55063694,0.9712816127954507,-1.7763568394002505e-15,0,0,0,17700099.095164187,2893732.10127388,42156.99999999982
47,1422709.3650871406,0.9703685088223076,-1.7763568394002505e-15,0,0,0,16888283.338573497,2803261.730174281,42156.99999999992
48,1380188.2701869234,0.9694556163745034,-1.7763568394002505e-15,0,0,0,16136848.415461544,2718219.540373847,42156.99999999995
49,1340144.1172530216,0.968542935452038,-1.7763568394002505e-15,0,0,0,15439686.493477067,2638131.234506043,42156.99999999991
50,1302366.6040887123,0.967630466054911,-1.7763568394002505e-15,0,0,0,14791461.863466643,2562576.2081774245,42156.999999999876
51,1266668.580584725,0.966718208183123,-1.7763568394002505e-15,0,0,0,14187494.897409646,2491180.16116945,42156.999999999854
52,1232882.9480515495,0.9658061618366732,-1.7763568394002505e-15,0,0,0,13623666.068958126,2423608.896103099,42156.99999999989
53,1200860.04386495,0.9648943270155628,-1.7763568394002505e-15,0,0,0,13096336.138045305,2359563.0877299,42156.99999999988
54,1170465.4250564603,0.9639827037197906,-1.7763568394002505e-15,0,0,0,12602279.437884599,2298773.8501129206,42156.99999999981
55,1141577.9816122253,0.9630712919493573,-1.7763568394002505e-15,0,0,0,12138627.843740802,2240998.963224451,42156.999999999876
56,1114088.3236429156,0.9621600917042624,-1.7763568394002505e-15,0,0,0,11702823.497476432,2186019.647285831,42156.999999999935
57,1087897.3971401097,0.9612491029845065,-1.7763568394002505e-15,0,0,0,11292578.746219171,2133637.7942802194,42156.999999999825
58,1062915.291393965,0.9603383257900892,-1.7763568394002505e-15,0,0,0,10905842.054063438,2083673.5827879303,42156.9999999999
59,1039060.2078104863,0.9594277601210104,-1.7763568394002505e-15,0,0,0,10540768.882276496,2035963.4156209729,42156.99999999985
60,1016257.5652067693,0.9585174059772705,-1.7763568394002505e-15,0,0,0,10195696.720741687,1990358.1304135385,42156.99999999993
61,994439.2209654583,0.9576072633588693,-1.7763568394002505e-15,0,0,0,9869123.60245585,1946721.4419309166,42156.9999999999
62,973542.7909147263,0.9566973322658064,-1.7763568394002505e-15,0,0,0,9559689.552231075,1904928.581829453,42156.99999999986
63,953511.0536356772,0.9557876126980827,-1.7763568394002505e-15,0,0,0,9266160.516747413,1864865.1072713546,42156.99999999984
64,934291.4272177737,0.954878104655697,-1.7763568394002505e-15,0,0,0,8987414.400718048,1826425.8544355475,42156.99999999987
65,915835.5083870324,0.9539688081386507,-1.7763568394002505e-15,0,0,0,8722428.896970376,1789514.016774065,42156.99999999986
66,898098.6655014637,0.9530597231469429,-1.7763568394002505e-15,0,0,0,8470270.849672748,1754040.3310029276,42156.999999999854
67,881039.6782089688,0.9521508496805737,-1.7763568394002505e-15,0,0,0,8230086.932087881,1719922.3564179377,42156.9999999999
68,864620.4176430958,0.9512421877395432,-1.7763568394002505e-15,0,0,0,8001095.454898644,1687083.835286192,42156.99999999985
69,848805.5619341972,0.9503337373238513,-1.7763568394002505e-15,0,0,0,7782579.149797195,1655454.1238683946,42156.99999999985
70,833562.3425683479,0.9494254984334981,-1.7763568394002505e-15,0,0,0,7573878.7967705745,1624967.685136696,42156.9999999999
71,818860.3177609686,0.9485174710684835,-1.7763568394002505e-15,0,0,0,7374387.583277639,1595563.6355219374,42156.99999999986
72,804671.1695468881,0.9476096552288078,-1.7763568394002505e-15,0,0,0,7183546.100011908,1567185.3390937762,42156.99999999992
73,790968.521740844,0.9467020509144707,-1.7763568394002505e-15,0,0,0,7000837.8917693235,1539780.043481688,42156.99999999989
74,777727.7763063166,0.9457946581254726,-1.7763568394002505e-15,0,0,0,6825785.49356375,1513298.5526126334,42156.99999999987
75,764925.9659968207,0.944887476861813,-1.7763568394002505e-15,0,0,0,6657946.8919291,1487694.9319936417,42156.999999999854
76,752541.6214126135,0.9439805071234918,-1.7763568394002505e-15,0,0,0,6496912.359638497,1462926.2428252273,42156.99999999984
