year,series,usd_per_100lb_nominal,source
1969,hsus_e131_wire,9.348,"HSUS (1975) Series E-131: wire 8d, Pittsburgh, $/100 lb (1961+ quoted per 50 lb, doubled here). 1918-19 values are a transcription error in HSUS (AISA Pittsburgh: 3.50, 3.41)"
1891,wire_chicago,2.04,"AISA Reports for 1898-1899, pp.27-28 (Iron Age, G.W. Cope)"
1892,wire_chicago,1.7,"AISA Reports for 1898-1899, pp.27-28 (Iron Age, G.W. Cope)"
1893,wire_chicago,1.49,"AISA Reports for 1898-1899, pp.27-28 (Iron Age, G.W. Cope)"
1894,wire_chicago,1.11,"AISA Reports for 1898-1899, pp.27-28 (Iron Age, G.W. Cope)"
1895,wire_chicago,1.69,"AISA Reports for 1898-1899, pp.27-28 (Iron Age, G.W. Cope)"
1896,wire_chicago,2.5,"AISA Reports for 1898-1899, pp.27-28 (Iron Age, G.W. Cope)"
1897,wire_chicago,1.45,"AISA Reports for 1898-1899, pp.27-28 (Iron Age, G.W. Cope)"
1898,wire_chicago,1.45,"AISA Reports for 1898-1899, pp.27-28 (Iron Age, G.W. Cope)"
1899,wire_chicago,2.57,"AISA Reports for 1898-1899, pp.27-28 (Iron Age, G.W. Cope)"
1903,wire_chicago,2.13,AISA Reports for 1907-1910
1904,wire_chicago,1.96,AISA Reports for 1907-1910
1905,wire_chicago,1.98,AISA Reports for 1907-1910
1906,wire_chicago,1.98,AISA Reports for 1907-1910
1907,wire_chicago,2.18,AISA Reports for 1907-1910
1908,wire_chicago,2.17,AISA Reports for 1907-1910
1909,wire_chicago,2.0,AISA Reports for 1907-1910
1910,wire_chicago,1.96,AISA Reports for 1907-1910
1911,wire_chicago,1.89,"AISA Report for 1920, p.86"
1912,wire_chicago,1.82,"AISA Report for 1920, p.86"
1913,wire_chicago,1.89,"AISA Report for 1920, p.86"
1914,wire_chicago,1.75,"AISA Report for 1920, p.86"
1915,wire_chicago,1.85,"AISA Report for 1920, p.86"
1916,wire_chicago,2.72,"AISA Report for 1920, p.86"
1917,wire_chicago,3.75,"AISA Report for 1920, p.86"
1918,wire_chicago,3.74,"AISA Report for 1920, p.86"
1919,wire_chicago,3.68,"AISA Report for 1920, p.86"
1920,wire_chicago,4.4,"AISA Report for 1920, p.86"
1911,wire_pittsburgh,1.7,"AISA Report for 1920, p.86"
1912,wire_pittsburgh,1.64,"AISA Report for 1920, p.86"
1913,wire_pittsburgh,1.7,"AISA Report for 1920, p.86"
1914,wire_pittsburgh,1.56,"AISA Report for 1920, p.86"
1915,wire_pittsburgh,1.66,"AISA Report for 1920, p.86"
1916,wire_pittsburgh,2.53,"AISA Report for 1920, p.86"
1917,wire_pittsburgh,3.56,"AISA Report for 1920, p.86"
1918,wire_pittsburgh,3.5,"AISA Report for 1920, p.86"
1919,wire_pittsburgh,3.41,"AISA Report for 1920, p.86"
1920,wire_pittsburgh,4.09,"AISA Report for 1920, p.86"
