year,series,cents_per_lb_nominal
1917,wire,3.6305
1918,wire,3.5939
1919,wire,3.5220
1920,wire,4.1829
1921,wire,3.0568
1922,wire,2.6132
1923,wire,3.0414
1924,wire,2.9956
1925,wire,2.8192
1926,wire,2.7488
1927,wire,2.6398
1928,wire,2.6801
1929,wire,2.6666
1930,wire,2.1892
1931,wire,1.9786
1932,wire,2.0499
1933,wire,2.0918
1934,wire,2.6265
1935,wire,2.6265
1936,wire,2.2339
1937,wire,2.7767
1938,wire,2.5738
1939,wire,2.4593
1940,wire,2.5479
1941,wire,2.5479
1942,wire,2.5479
1943,wire,2.5479
1944,wire,2.5479
1945,wire,2.8479
1946,wire,3.4865
1947,wire,4.4672
1948,wire,5.8112
1949,wire,6.1437
1950,wire,6.3330
1951,wire,6.9367
1952,wire,7.1144
1953,wire,7.4458
1954,wire,7.6365
1955,wire,8.1969
1956,wire,8.9329
1957,wire,9.5885
1958,wire,9.8341
1959,wire,9.8341
1960,wire,9.5885
1961,wire,9.5401
1962,wire,9.4441
1963,wire,9.2549
1964,wire,9.3018
1965,wire,9.3018
1966,wire,8.7098
1967,wire,8.6659
1968,wire,8.6659
1969,wire,9.3490
1970,wire,10.1885
1971,wire,11.0474
1972,wire,11.7983
1973,wire,12.4104
1974,wire,18.3206
1975,wire,21.3228
1976,wire,21.5396
1977,wire,23.0036
1978,wire,24.0750
1979,wire,26.3699
1980,wire,29.3253
1981,wire,31.7973
1982,wire,32.4472
1983,wire,31.7973
1984,wire,32.2835
1985,wire,32.6118
1986,wire,32.4472
1987,wire,32.7772
1988,wire,33.9585
1989,wire,35.9016
1990,wire,36.4506
1991,wire,37.1956
1992,wire,37.3842
1993,wire,37.5738
1994,wire,38.3418
1995,wire,38.9281
1996,wire,38.7317
1997,wire,38.7317
1998,wire,38.9281
1999,wire,39.3239
2000,wire,38.7317
2001,wire,38.7317
2002,wire,38.1483
2003,wire,38.1483
2004,wire,47.6579
2005,wire,51.1552
2006,wire,52.4655
2007,wire,54.3565
2008,wire,76.6715
2009,wire,72.5218
2010,wire,85.6965
2011,wire,94.3414
2012,wire,103.3343
2013,wire,113.1845
2014,wire,112.6135
2015,wire,113.7585
2016,wire,108.1474
2017,wire,108.6958
2018,wire,120.8775
2019,wire,124.6952
