region,tam_usd_per_month_n100,tam_usd_per_month_n1_000,tam_usd_per_month_n4_408,tam_usd_per_month_n10_900,tam_usd_per_month_n33_900,tam_usd_per_month_n100_000,tam_usd_per_month_n500_000,tam_usd_per_month_n1_000_000,tam_usd_per_month_n2_000_000
East Asia & Pacific,26570843.92,143132578.50,509315806.51,1004349522.03,1184830836.54,1040239798.81,1011192862.41,1011192862.41,1011192862.41
Europe & Central Asia,41573072.35,258273707.16,375327630.92,487367430.81,671649796.66,691451306.30,653239560.80,653239560.80,653239560.80
Latin America & Caribbean,25662486.08,189743328.25,593666206.86,856212774.38,1055660823.22,861429772.88,808467044.89,808467044.89,808467044.89
"Middle East, North Africa, Afghanistan & Pakistan",6987936.37,69536585.75,300560574.21,705835067.31,1814259753.29,2318582461.48,1715420346.37,1715420346.37,1715420346.37
North America,16064855.49,156692949.01,357684747.55,357684747.55,357684747.55,357684747.55,357684747.55,357684747.55,357684747.55
South Asia,1508084.75,15014363.02,65073577.67,155236730.92,422572723.54,386348389.14,237335140.71,237335140.71,237335140.71
Sub-Saharan Africa,65944034.64,636479192.45,2306379940.88,3531841218.43,4058826365.13,3833773407.61,3628082303.35,3628082303.35,3628082303.35
