iso3,country,region,tam_usd_per_month_n100,tam_usd_per_month_n1_000,tam_usd_per_month_n4_408,tam_usd_per_month_n10_900,tam_usd_per_month_n33_900,tam_usd_per_month_n100_000,tam_usd_per_month_n500_000,tam_usd_per_month_n1_000_000,tam_usd_per_month_n2_000_000
SDN,Sudan,Sub-Saharan Africa,173368.66,1691575.84,6793519.11,14068496.22,23340496.69,12949496.59,10061873.01,10061873.01,10061873.01
SEN,Senegal,Sub-Saharan Africa,91096.53,890327.47,3598373.91,7542299.98,13060115.74,3607971.26,2779118.68,2779118.68,2779118.68
SGP,Singapore,East Asia & Pacific,153222.24,1532222.40,1712984.16,1712984.16,1712984.16,1712984.16,1712984.16,1712984.16,1712984.16
SLB,Solomon Islands,East Asia & Pacific,17287.07,159366.32,516267.02,709984.37,487280.41,267027.40,266077.02,266077.02,266077.02
SLE,Sierra Leone,Sub-Saharan Africa,55689.05,541334.24,2143457.20,4320606.76,6514405.99,2583541.65,2582056.00,2582056.00,2582056.00
SLV,El Salvador,Latin America & Caribbean,139850.78,1372080.70,5626623.39,12124634.52,23158385.58,6892955.55,4305737.07,4305737.07,4305737.07
SMR,San Marino,Europe & Central Asia,1081.25,10812.47,15613.50,15613.50,15613.50,15613.50,15613.50,15613.50,15613.50
SOM,"Somalia, Fed. Rep.",Sub-Saharan Africa,113184.75,1078593.15,3961350.64,6919125.11,6450295.83,3230697.59,2974845.11,2974845.11,2974845.11
SRB,Serbia,Europe & Central Asia,157750.38,1577503.84,6953636.92,8517790.20,8517790.20,8517790.20,8517790.20,8517790.20,8517790.20
SSD,South Sudan,Sub-Saharan Africa,25585.96,247126.59,955101.94,1838406.65,2353858.47,1249565.19,1206872.98,1206872.98,1206872.98
STP,Sao Tome and Principe,Sub-Saharan Africa,5632.25,53764.15,198739.54,351428.60,201488.59,87051.26,87051.26,87051.26,87051.26
SUR,Suriname,Latin America & Caribbean,7595.30,75953.01,334800.86,686506.23,686506.23,686506.23,686506.23,686506.23,686506.23
SVK,Slovak Republic,Europe & Central Asia,138471.10,1105575.30,1105575.30,1105575.30,1105575.30,1105575.30,1105575.30,1105575.30,1105575.30
SVN,Slovenia,Europe & Central Asia,121771.69,1046433.16,1046433.16,1046433.16,1046433.16,1046433.16,1046433.16,1046433.16,1046433.16
SWE,Sweden,Europe & Central Asia,1320337.70,7368810.92,7368810.92,7368810.92,7368810.92,7368810.92,7368810.92,7368810.92,7368810.92
SWZ,Eswatini,Sub-Saharan Africa,162040.19,1390869.87,3438229.31,1461255.77,690430.14,690430.14,690430.14,690430.14,690430.14
SYC,Seychelles,Sub-Saharan Africa,9141.56,91415.56,101330.45,101330.45,101330.45,101330.45,101330.45,101330.45,101330.45
SYR,Syrian Arab Republic,"Middle East, North Africa, Afghanistan & Pakistan",135922.33,1337064.55,5538129.09,12163429.86,24854355.84,20594306.74,9593303.75,9593303.75,9593303.75
TCA,Turks and Caicos Islands,Latin America & Caribbean,3004.32,30043.23,97876.24,97876.24,97876.24,97876.24,97876.24,97876.24,97876.24
TCD,Chad,Sub-Saharan Africa,83545.97,816235.42,3294379.35,6887019.37,11815071.96,6840187.44,5496745.11,5496745.11,5496745.11
TGO,Togo,Sub-Saharan Africa,62237.34,608465.10,2462122.74,5172410.96,9028774.37,3651285.93,2921078.56,2921078.56,2921078.56
THA,Thailand,East Asia & Pacific,463440.90,4634409.01,20428474.92,39529064.61,39529064.61,39529064.61,39529064.61,39529064.61,39529064.61
TJK,Tajikistan,Europe & Central Asia,126245.17,1231303.02,4937667.09,10196314.19,16747220.43,4338049.86,3916667.81,3916667.81,3916667.81
TKM,Turkmenistan,Europe & Central Asia,617972.75,6022835.71,24085293.32,49473896.56,79751154.31,41137496.42,34555782.22,34555782.22,34555782.22
TLS,Timor-Leste,East Asia & Pacific,24438.02,232488.94,848419.89,1463957.85,1439887.89,559508.16,559508.16,559508.16,559508.16
TON,Tonga,East Asia & Pacific,18126.65,146754.00,237020.35,56570.52,50015.94,50015.94,50015.94,50015.94,50015.94
TTO,Trinidad and Tobago,Latin America & Caribbean,19635.86,196358.58,831261.23,831261.23,831261.23,831261.23,831261.23,831261.23,831261.23
TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",204495.07,2011778.02,8335387.50,18317913.55,37063392.86,11150276.34,5146884.07,5146884.07,5146884.07
TUR,Turkiye,Europe & Central Asia,505899.43,5058994.29,22300046.83,49689369.17,49689369.17,49689369.17,49689369.17,49689369.17,49689369.17
TUV,Tuvalu,East Asia & Pacific,362.60,3490.66,13322.17,25035.79,29841.89,10894.81,10843.11,10843.11,10843.11
TZA,Tanzania,Sub-Saharan Africa,1231249.84,11659223.99,41807678.98,69767663.21,60308401.08,27896360.35,27347579.39,27347579.39,27347579.39
UGA,Uganda,Sub-Saharan Africa,758440.74,7177164.18,25670404.11,42630738.30,32825532.14,22011640.80,22011640.80,22011640.80,22011640.80
UKR,Ukraine,Europe & Central Asia,333439.96,3334399.62,14698033.52,14856797.76,14856797.76,14856797.76,14856797.76,14856797.76,14856797.76
URY,Uruguay,Latin America & Caribbean,512297.46,2252895.28,2252895.28,2252895.28,2252895.28,2252895.28,2252895.28,2252895.28,2252895.28
USA,United States,North America,12881878.28,128474480.79,329431196.79,329431196.79,329431196.79,329431196.79,329431196.79,329431196.79,329431196.79
UZB,Uzbekistan,Europe & Central Asia,95359.94,953599.42,4203466.27,8927389.53,8927389.53,8927389.53,8927389.53,8927389.53,8927389.53
VCT,St. Vincent and the Grenadines,Latin America & Caribbean,4221.57,41413.24,169753.51,365493.88,593841.35,145046.32,91766.80,91766.80,91766.80
VEN,"Venezuela, RB",Latin America & Caribbean,1001472.18,9811913.29,40026723.10,85397098.64,123432247.44,32080277.13,20005115.55,20005115.55,20005115.55
VGB,British Virgin Islands,Latin America & Caribbean,1911.09,19110.88,51038.67,51038.67,51038.67,51038.67,51038.67,51038.67,51038.67
VIR,Virgin Islands (U.S.),Latin America & Caribbean,4266.78,42667.82,94624.31,94624.31,94624.31,94624.31,94624.31,94624.31,94624.31
VNM,Viet Nam,East Asia & Pacific,251908.41,2519084.09,11104122.68,27458016.62,43623936.00,43623936.00,43623936.00,43623936.00,43623936.00
VUT,Vanuatu,East Asia & Pacific,19826.70,173789.21,465117.05,444574.81,207285.64,207285.64,207285.64,207285.64,207285.64
WSM,Samoa,East Asia & Pacific,17460.27,148097.87,349974.16,263908.15,148811.19,148811.19,148811.19,148811.19,148811.19
YEM,"Yemen, Rep.","Middle East, North Africa, Afghanistan & Pakistan",173878.24,1694510.43,6774408.90,13907844.43,22376153.37,12174538.63,9753651.72,9753651.72,9753651.72
ZAF,South Africa,Sub-Saharan Africa,20110911.27,166114690.97,212568865.28,80947896.60,40662360.49,40662360.49,40662360.49,40662360.49,40662360.49
ZMB,Zambia,Sub-Saharan Africa,734674.50,6501447.16,18040006.88,18471507.30,9103881.28,8830880.14,8830880.14,8830880.14,8830880.14
ZWE,Zimbabwe,Sub-Saharan Africa,1423420.53,12220205.86,30229824.59,20442212.19,9682894.84,9682894.84,9682894.84,9682894.84,9682894.84
