iso3,country,region,tam_usd_per_month_n100,tam_usd_per_month_n1_000,tam_usd_per_month_n4_408,tam_usd_per_month_n10_900,tam_usd_per_month_n33_900,tam_usd_per_month_n100_000,tam_usd_per_month_n500_000,tam_usd_per_month_n1_000_000,tam_usd_per_month_n2_000_000
IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",149442.50,1494424.96,6587425.22,16289232.06,38995114.16,38995114.16,38995114.16,38995114.16,38995114.16
ISL,Iceland,Europe & Central Asia,286200.45,286200.45,286200.45,286200.45,286200.45,286200.45,286200.45,286200.45,286200.45
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",74818.05,748180.52,3102605.96,3102605.96,3102605.96,3102605.96,3102605.96,3102605.96,3102605.96
ITA,Italy,Europe & Central Asia,1360676.72,13606767.17,21923992.46,21923992.46,21923992.46,21923992.46,21923992.46,21923992.46,21923992.46
JAM,Jamaica,Latin America & Caribbean,58383.29,583832.92,2573535.51,4411115.82,4411115.82,4411115.82,4411115.82,4411115.82,4411115.82
JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",56460.30,564603.01,2488770.05,3466159.02,3466159.02,3466159.02,3466159.02,3466159.02,3466159.02
JPN,Japan,East Asia & Pacific,1329795.41,13297954.08,53418887.27,53418887.27,53418887.27,53418887.27,53418887.27,53418887.27,53418887.27
KAZ,Kazakhstan,Europe & Central Asia,301663.40,3016634.01,5993762.15,5993762.15,5993762.15,5993762.15,5993762.15,5993762.15,5993762.15
KEN,Kenya,Sub-Saharan Africa,2102379.11,19915117.31,71504132.06,119618832.64,77461181.62,44385596.00,44385596.00,44385596.00,44385596.00
KGZ,Kyrgyz Republic,Europe & Central Asia,4799.22,47992.23,211549.77,241924.06,241924.06,241924.06,241924.06,241924.06,241924.06
KHM,Cambodia,East Asia & Pacific,226385.22,2220047.46,9088054.10,19518427.43,36843288.03,9733128.80,6400016.21,6400016.21,6400016.21
KIR,Kiribati,East Asia & Pacific,2936.89,29368.92,118075.73,118075.73,118075.73,118075.73,118075.73,118075.73,118075.73
KNA,St. Kitts and Nevis,Latin America & Caribbean,1664.67,16646.66,30260.33,30260.33,30260.33,30260.33,30260.33,30260.33,30260.33
KOR,"Korea, Rep.",East Asia & Pacific,506420.06,5064200.65,13430733.76,13430733.76,13430733.76,13430733.76,13430733.76,13430733.76,13430733.76
KWT,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LAO,Lao PDR,East Asia & Pacific,136785.93,1329149.22,5255382.19,10564660.54,13003067.04,3044786.59,2875568.61,2875568.61,2875568.61
LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",11811.56,118115.59,520653.52,1287459.93,3076284.31,3076284.31,3076284.31,3076284.31,3076284.31
LBR,Liberia,Sub-Saharan Africa,18989.14,185202.05,742619.69,1533270.96,2516947.41,1044961.20,902304.40,902304.40,902304.40
LBY,Libya,"Middle East, North Africa, Afghanistan & Pakistan",8964.12,89641.18,395138.34,977088.91,2119075.48,2119075.48,2119075.48,2119075.48,2119075.48
LCA,St. Lucia,Latin America & Caribbean,9103.99,89273.70,365382.27,784440.54,1478774.37,391484.10,258898.14,258898.14,258898.14
LIE,Liechtenstein,Europe & Central Asia,4570.78,23815.17,23815.17,23815.17,23815.17,23815.17,23815.17,23815.17,23815.17
LKA,Sri Lanka,South Asia,722022.23,7041086.56,28220543.52,58216543.28,95276504.17,25278812.93,22881630.25,22881630.25,22881630.25
LSO,Lesotho,Sub-Saharan Africa,256138.43,1960220.20,2990637.35,958624.46,831379.43,831379.43,831379.43,831379.43,831379.43
LTU,Lithuania,Europe & Central Asia,24209.97,242099.74,663046.66,663046.66,663046.66,663046.66,663046.66,663046.66,663046.66
LUX,Luxembourg,Europe & Central Asia,84292.66,147837.20,147837.20,147837.20,147837.20,147837.20,147837.20,147837.20,147837.20
LVA,Latvia,Europe & Central Asia,33190.92,331909.22,511582.77,511582.77,511582.77,511582.77,511582.77,511582.77,511582.77
MAC,"Macao SAR, China",East Asia & Pacific,9674.39,96743.92,426447.21,534733.90,534733.90,534733.90,534733.90,534733.90,534733.90
MAR,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",32261.65,322616.54,1422093.70,3516520.26,4078942.47,4078942.47,4078942.47,4078942.47,4078942.47
MCO,Monaco,Europe & Central Asia,2109.04,10981.42,10981.42,10981.42,10981.42,10981.42,10981.42,10981.42,10981.42
MDA,Moldova,Europe & Central Asia,469438.33,4328440.27,14031494.58,11523087.28,2369604.65,2309467.53,2309467.53,2309467.53,2309467.53
MDG,Madagascar,Sub-Saharan Africa,677703.49,5817690.92,14387243.60,12046227.93,6421026.18,6421026.18,6421026.18,6421026.18,6421026.18
MDV,Maldives,South Asia,14845.31,148453.06,654381.08,1169804.44,1169804.44,1169804.44,1169804.44,1169804.44,1169804.44
MEX,Mexico,Latin America & Caribbean,1254490.91,12544909.12,55297959.38,136739509.36,224720024.73,224720024.73,224720024.73,224720024.73,224720024.73
