iso3,country,region,tam_usd_per_month_n100,tam_usd_per_month_n1_000,tam_usd_per_month_n4_408,tam_usd_per_month_n10_900,tam_usd_per_month_n33_900,tam_usd_per_month_n100_000,tam_usd_per_month_n500_000,tam_usd_per_month_n1_000_000,tam_usd_per_month_n2_000_000
IDN,Indonesia,East Asia & Pacific,542208.21,5392486.13,23276074.67,55229546.87,143971517.80,203376249.61,204298085.84,204298085.84,204298085.84
IND,India,South Asia,626058.82,6244447.34,27256105.91,66129181.44,191684416.68,428829074.88,512513094.09,512513094.09,512513094.09
IRL,Ireland,Europe & Central Asia,526025.78,5260257.85,23187216.59,51459578.70,89378084.71,94052545.99,94342991.90,94342991.90,94342991.90
IRN,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",292016.28,2920162.77,12872077.48,31829774.16,98993517.79,286832525.19,396681049.11,396681049.11,396681049.11
IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",149442.50,1494424.96,6587425.22,16289232.06,50661006.15,149442496.01,210494296.08,210494296.08,210494296.08
ISL,Iceland,Europe & Central Asia,389197.84,3891978.44,14155064.82,15982097.80,15982097.80,15982097.80,15982097.80,15982097.80,15982097.80
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",74818.05,748180.52,3297979.73,8155167.66,25363319.59,74818051.89,103420198.73,103420198.73,103420198.73
ITA,Italy,Europe & Central Asia,1360676.72,13606767.17,59978629.70,148313762.19,454030432.22,720963237.32,730799616.30,730799616.30,730799616.30
JAM,Jamaica,Latin America & Caribbean,58383.29,583832.92,2573535.51,6363778.83,19791935.98,44595883.56,44595883.56,44595883.56,44595883.56
JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",56460.30,564603.01,2488770.05,6154172.76,19140041.90,56460300.58,79180294.27,79180294.27,79180294.27
JPN,Japan,East Asia & Pacific,1329795.41,13297954.08,58617381.59,144947699.49,450800643.38,1245788285.46,1780629585.43,1780629585.43,1780629585.43
KAZ,Kazakhstan,Europe & Central Asia,301663.40,3016634.01,13297322.71,31768344.24,73739043.27,90564128.40,90700106.69,90700106.69,90700106.69
KEN,Kenya,Sub-Saharan Africa,497039.00,4911545.60,20667884.30,46480403.84,93513371.72,93095160.38,93095160.38,93095160.38,93095160.38
KGZ,Kyrgyz Republic,Europe & Central Asia,4799.22,47992.23,211549.77,523115.35,1626936.74,2981645.22,3034900.56,3034900.56,3034900.56
KHM,Cambodia,East Asia & Pacific,6347.02,63285.00,275869.03,667601.26,1915857.73,4291317.78,4645895.53,4645895.53,4645895.53
KIR,Kiribati,East Asia & Pacific,2936.89,29368.92,129458.21,320121.25,988577.93,1118151.69,1118151.69,1118151.69,1118151.69
KNA,St. Kitts and Nevis,Latin America & Caribbean,1664.67,16646.66,73378.48,181448.60,564321.80,1008434.14,1008434.14,1008434.14,1008434.14
KOR,"Korea, Rep.",East Asia & Pacific,506420.06,5064200.65,22322996.46,55199787.06,171676401.96,505530682.64,638233239.85,638233239.85,638233239.85
KWT,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",3903.51,39035.14,172066.90,425483.03,1323291.27,3903514.08,4818873.40,4818873.40,4818873.40
LAO,Lao PDR,East Asia & Pacific,7144.54,71122.49,308117.54,736514.70,2010855.43,3413663.72,3438488.03,3438488.03,3438488.03
LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",11811.56,118115.59,520653.52,1287459.93,4004118.51,11811559.03,15884973.44,15884973.44,15884973.44
LBR,Liberia,Sub-Saharan Africa,73079.99,726737.96,3135660.06,7434413.72,19602690.01,29402338.54,28945484.85,28945484.85,28945484.85
LBY,Libya,"Middle East, North Africa, Afghanistan & Pakistan",8964.12,89641.18,395138.34,977088.91,3038836.14,8963574.63,11742953.96,11742953.96,11742953.96
LCA,St. Lucia,Latin America & Caribbean,3922.26,39107.20,170459.18,412438.10,1182789.15,2641875.03,2854018.00,2854018.00,2854018.00
LIE,Liechtenstein,Europe & Central Asia,4570.78,45707.84,201480.16,498215.46,1372182.07,1372182.07,1372182.07,1372182.07,1372182.07
LKA,Sri Lanka,South Asia,24633.71,245199.33,1061847.98,2536258.15,6902337.13,11926629.96,11985053.10,11985053.10,11985053.10
LSO,Lesotho,Sub-Saharan Africa,310149.86,2943395.56,10335489.99,13772634.98,13840310.48,13840310.48,13840310.48,13840310.48,13840310.48
LTU,Lithuania,Europe & Central Asia,24209.97,242099.74,1067175.65,2638887.16,8192326.07,20354346.79,22101611.42,22101611.42,22101611.42
LUX,Luxembourg,Europe & Central Asia,84292.66,842926.58,3715620.37,9187899.74,16974715.15,16974715.15,16974715.15,16974715.15,16974715.15
LVA,Latvia,Europe & Central Asia,33190.92,331909.22,1463055.82,3617810.45,11000549.92,16835148.71,17052620.48,17052620.48,17052620.48
MAC,"Macao SAR, China",East Asia & Pacific,9674.39,96743.92,426447.21,1054508.75,3279618.94,9674392.16,17824463.19,17824463.19,17824463.19
MAR,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",32261.65,322616.54,1422093.70,3516520.26,10936700.62,32261653.75,46351615.73,46351615.73,46351615.73
MCO,Monaco,Europe & Central Asia,2109.04,21090.37,92966.35,229885.04,714963.55,1150378.61,1150378.61,1150378.61,1150378.61
MDA,Moldova,Europe & Central Asia,64615.55,639840.31,2715004.96,6217065.78,12720899.00,12790952.53,12790952.53,12790952.53,12790952.53
MDG,Madagascar,Sub-Saharan Africa,1269878.11,12233505.44,46159084.30,77181643.10,74146060.68,74146060.68,74146060.68,74146060.68,74146060.68
MDV,Maldives,South Asia,14845.31,148453.06,654381.08,1618138.34,4936097.32,7795959.18,7925522.37,7925522.37,7925522.37
MEX,Mexico,Latin America & Caribbean,1254490.91,12544909.12,55297959.38,136739509.36,425272419.01,1140649023.77,1331464172.73,1331464172.73,1331464172.73
MHL,Marshall Islands,East Asia & Pacific,1106.11,11014.18,47766.92,114425.78,315203.85,563536.69,565906.17,565906.17,565906.17
MKD,North Macedonia,Europe & Central Asia,20123.76,201237.55,887055.12,2193489.30,6821952.96,13561343.36,13572124.06,13572124.06,13572124.06
MLI,Mali,Sub-Saharan Africa,425779.77,4237423.03,18338473.79,43744984.17,118399629.73,200395496.49,197687136.18,197687136.18,197687136.18
MLT,Malta,"Middle East, North Africa, Afghanistan & Pakistan",4631.04,46310.43,204136.39,504783.71,1569923.66,4631043.24,7265623.47,7265623.47,7265623.47
MMR,Myanmar,East Asia & Pacific,290662.98,2891868.56,12500967.22,29751492.64,79741703.13,128154900.78,128678060.47,128678060.47,128678060.47
MNE,Montenegro,Europe & Central Asia,10294.12,102941.20,453764.82,1122059.11,3489706.78,4606495.69,4606495.69,4606495.69,4606495.69
MNG,Mongolia,East Asia & Pacific,21506.02,215060.19,947985.30,2344110.95,6006699.75,6121788.65,6121788.65,6121788.65,6121788.65
MNP,Northern Mariana Islands,East Asia & Pacific,1678.66,16786.56,73995.16,182973.52,569064.43,1157432.53,1172146.05,1172146.05,1172146.05
MOZ,Mozambique,Sub-Saharan Africa,992133.96,9589967.53,36741438.49,64351643.88,63843442.33,63843442.33,63843442.33,63843442.33,63843442.33
