iso3,country,region,tam_usd_per_month_n100,tam_usd_per_month_n1_000,tam_usd_per_month_n4_408,tam_usd_per_month_n10_900,tam_usd_per_month_n33_900,tam_usd_per_month_n100_000,tam_usd_per_month_n500_000,tam_usd_per_month_n1_000_000,tam_usd_per_month_n2_000_000
ABW,Aruba,Latin America & Caribbean,2769.31,27693.14,122071.36,301855.21,938797.41,2769313.89,3032428.93,3032428.93,3032428.93
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",103505.59,1031000.48,4476959.23,10751665.27,29925355.58,58474094.71,55677658.37,55677658.37,55677658.37
AGO,Angola,Sub-Saharan Africa,574336.10,5652706.06,23403950.03,50744969.75,79230653.21,81576098.11,81562903.06,81562903.06,81562903.06
ALB,Albania,Europe & Central Asia,20351.34,203513.35,897086.86,2218295.55,6899102.69,16473573.56,16703377.82,16703377.82,16703377.82
AND,Andorra,Europe & Central Asia,3616.38,36163.79,159409.97,394185.27,1225952.37,1569392.00,1569392.00,1569392.00,1569392.00
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",124335.71,1243357.07,5480717.94,13552592.01,42149804.50,124335706.50,232723805.74,232723805.74,232723805.74
ARG,Argentina,Latin America & Caribbean,6296499.48,36041879.18,113416408.61,189921857.93,255136195.37,255136195.37,255136195.37,255136195.37,255136195.37
ARM,Armenia,Europe & Central Asia,15882.48,158824.85,700099.94,1731190.86,5384162.40,15592430.36,16314168.64,16314168.64,16314168.64
ASM,American Samoa,East Asia & Pacific,6659.18,66591.81,293536.69,725850.70,1003196.15,1003196.15,1003196.15,1003196.15,1003196.15
ATG,Antigua and Barbuda,Latin America & Caribbean,1375.79,13757.94,60645.01,149961.56,466394.21,833567.48,833567.48,833567.48,833567.48
AUS,Australia,East Asia & Pacific,10769707.20,99430900.88,351331299.31,520501051.14,621213789.86,621213789.86,621213789.86,621213789.86,621213789.86
AUT,Austria,Europe & Central Asia,490667.41,4906674.10,21628619.44,53482747.70,144491086.37,144491086.37,144491086.37,144491086.37,144491086.37
AZE,Azerbaijan,Europe & Central Asia,49181.26,491812.64,2167910.13,5360757.80,16672448.56,46227338.51,47699203.36,47699203.36,47699203.36
BDI,Burundi,Sub-Saharan Africa,216244.92,2133061.80,8912012.68,19726822.62,35892931.06,32831849.49,32831849.49,32831849.49,32831849.49
BEL,Belgium,Europe & Central Asia,1087573.16,10875731.57,47940224.76,118545474.11,253155637.05,253155637.05,253155637.05,253155637.05,253155637.05
BEN,Benin,Sub-Saharan Africa,149347.78,1486183.62,6429345.29,15324826.57,41342405.76,68810076.61,67564213.53,67564213.53,67564213.53
BFA,Burkina Faso,Sub-Saharan Africa,277548.17,2762847.00,11967736.61,28600137.04,78003226.65,137305067.76,132938854.76,132938854.76,132938854.76
BGD,Bangladesh,South Asia,98938.58,986961.60,4310063.60,10467224.90,30453900.78,72015462.36,90791216.26,90791216.26,90791216.26
BGR,Bulgaria,Europe & Central Asia,100669.34,1006693.36,4437504.32,10972957.61,34126904.85,49129532.79,49129532.79,49129532.79,49129532.79
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",7447.62,74476.24,328291.28,811791.05,2524744.64,7447624.31,14702599.09,14702599.09,14702599.09
BHS,"Bahamas, The",Latin America & Caribbean,5167.39,51673.91,227778.60,563245.64,1751745.62,5166624.50,10107830.56,10107830.56,10107830.56
BIH,Bosnia and Herzegovina,Europe & Central Asia,57977.85,579778.46,2555663.43,6319585.16,19654489.63,25936211.03,25936211.03,25936211.03,25936211.03
BLR,Belarus,Europe & Central Asia,301700.20,3017001.95,13298944.60,29131559.66,49322106.25,56369193.82,57373636.72,57373636.72,57373636.72
BLZ,Belize,Latin America & Caribbean,6718.50,67185.01,296151.51,732316.57,2277571.73,4488602.23,4488602.23,4488602.23,4488602.23
BMU,Bermuda,North America,3474.05,34740.46,153135.97,378671.06,1177701.73,3474046.40,4284623.89,4284623.89,4284623.89
BOL,Bolivia,Latin America & Caribbean,1148489.39,11298816.57,46699250.38,100573256.39,131485605.74,131485605.74,131485605.74,131485605.74,131485605.74
BRA,Brazil,Latin America & Caribbean,7147023.53,71470235.27,315040797.06,733251434.98,1360579044.23,1482763760.31,1483900394.98,1483900394.98,1483900394.98
BRB,Barbados,Latin America & Caribbean,5611.18,56111.83,247340.96,611618.99,1902191.17,5611183.38,6904745.34,6904745.34,6904745.34
BRN,Brunei Darussalam,East Asia & Pacific,13981.04,139810.41,616284.28,1523933.45,4739572.85,7562916.03,7562916.03,7562916.03,7562916.03
BTN,Bhutan,South Asia,796.47,7964.65,35108.18,86814.70,270001.67,796465.10,1242612.41,1242612.41,1242612.41
BWA,Botswana,Sub-Saharan Africa,209254.59,2024480.78,7787793.30,13254454.28,14484723.81,14484723.81,14484723.81,14484723.81,14484723.81
CAF,Central African Republic,Sub-Saharan Africa,512940.40,5084354.72,21659890.52,50018062.71,116514774.26,123902255.44,122358928.62,122358928.62,122358928.62
CAN,Canada,North America,3179503.16,31003099.97,134230890.76,324704553.06,788722652.65,938310701.61,939457282.58,939457282.58,939457282.58
CHE,Switzerland,Europe & Central Asia,947770.58,9477705.81,41777727.21,103306993.34,267421571.43,267959437.41,267959437.41,267959437.41,267959437.41
CHL,Chile,Latin America & Caribbean,2927619.46,20773850.01,52701689.09,79031704.13,103959474.73,103959474.73,103959474.73,103959474.73,103959474.73
CHN,China,East Asia & Pacific,6198776.08,61987760.83,273242049.74,675386771.19,2060926941.97,5260732394.12,7183630535.71,7183630535.71,7183630535.71
CIV,Cote d'Ivoire,Sub-Saharan Africa,194266.68,1931543.93,8328586.53,19720194.41,51695484.04,76266751.79,75962767.30,75962767.30,75962767.30
CMR,Cameroon,Sub-Saharan Africa,320504.26,3181426.48,13629537.34,31845982.04,78377849.10,97992290.97,97901234.46,97901234.46,97901234.46
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,725553.30,7154017.53,29840450.96,65807086.41,116304119.79,111010813.26,110703558.42,110703558.42,110703558.42
COG,"Congo, Rep.",Sub-Saharan Africa,54306.11,536591.16,2257299.46,5073093.91,10158462.01,10275801.56,10275801.56,10275801.56,10275801.56
COL,Colombia,Latin America & Caribbean,740720.29,7376269.16,31998260.59,76692382.58,210489424.15,321073963.17,330542738.92,330542738.92,330542738.92
COM,Comoros,Sub-Saharan Africa,35359.06,345870.98,1395746.82,2844415.14,3580709.06,3580709.06,3580709.06,3580709.06,3580709.06
CPV,Cabo Verde,Sub-Saharan Africa,7382.68,73514.13,318831.82,763818.61,2104696.71,3477493.55,3502179.44,3502179.44,3502179.44
CRI,Costa Rica,Latin America & Caribbean,73208.88,732088.79,3227047.38,7979767.79,24817809.91,71016369.25,80198369.22,80198369.22,80198369.22
CUB,Cuba,Latin America & Caribbean,119146.65,1188311.02,5185405.51,12574252.58,36373414.24,81740646.86,94568490.91,94568490.91,94568490.91
