step,a_km,e,i_deg,Omega_deg,omega_deg,nu_deg,period_s,r_apogee_km,r_perigee_km
0,4381571.0,0.9984546638637146,0,0,0,0,91275874.26236458,8756371.0,6771.000000000069
1,4382427.255189006,0.9980641982435721,0,0,0,0,91302631.53475599,8756371.0,8483.510378012532
2,4383380.250523718,0.9976297969937253,0,0,0,0,91332414.93114012,8756371.0,10389.5010474363
3,4384430.112025358,0.9971514601141751,0,0,0,0,91365229.37638727,8756371.0,12489.224050715951
4,4385576.978619553,0.9966291876049205,0,0,0,0,91401080.30070004,8756371.0,14782.957239106205
5,4386821.00218237,0.9960629794659623,0,0,0,0,91439973.6417135,8756371.0,17271.00436473966
6,4388162.347590709,0.9954528356972996,0,0,0,0,91481915.84679487,8756371.0,19953.695181418512
7,4389601.192777063,0.9947987562989336,0,0,0,0,91526913.8755434,8756371.0,22831.38555412547
8,4391137.728788699,0.9941007412708633,0,0,0,0,91574975.20249274,8756371.0,25904.457577398054
9,4392772.159851283,0.993358790613089,0,0,0,0,91626107.82001743,8756371.0,29173.319702565823
10,4394504.70343699,0.9925729043256106,0,0,0,0,91680320.24144565,8756371.0,32638.40687398062
11,4396335.5903371535,0.9917430824084283,0,0,0,0,91737621.5043805,8756371.0,36300.1806743074
12,4398265.064739482,0.9908693248615426,0,0,0,0,91798021.17423189,8756371.0,40159.129478962706
13,4399264.0,0.9904172607054271,0,0,0,0,91829296.74041486,8756371.0,42156.99999999983
14,4014851.0831032814,0.9894997350767455,0,0,0,0,80059962.63670237,7987545.166206564,42156.99999999976
15,3692288.873306198,0.9885824209734025,0,0,0,0,70608133.05486907,7342420.746612396,42157.00000000001
16,3417761.507866877,0.9876653183953987,0,0,0,0,62881638.941988505,6793366.015733754,42156.999999999876
17,3181282.7873590225,0.9867484273427334,0,0,0,0,56469590.02252184,6320408.574718045,42156.99999999976
18,2975455.2255811063,0.9858317478154064,0,0,0,0,51078878.156956516,5908753.4511622125,42156.999999999985
19,2794682.2664632285,0.9849152798134183,0,0,0,0,46495388.39322546,5547207.532926457,42156.99999999973
20,2634651.6770362505,0.9839990233367688,0,0,0,0,42559452.27945857,5227146.354072501,42156.99999999997
21,2491987.121643276,0.9830829783854579,0,0,0,0,39149832.79549026,4941817.243286552,42156.99999999989
22,2364007.3282839134,0.982167144959486,0,0,0,0,36172993.38240631,4685857.656567827,42156.99999999986
23,2248555.983098452,0.9812515230588529,0,0,0,0,33555736.733026914,4454954.966196905,42156.999999999716
24,2143879.250403853,0.9803361126835578,0,0,0,0,31240048.7285619,4245601.500807706,42156.999999999935
25,2048536.05544619,0.9794209138336022,0,0,0,0,29179418.945703782,4054915.1108923806,42156.999999999825
26,1961331.3417590118,0.9785059265089847,0,0,0,0,27336170.445303738,3880505.683518024,42156.99999999982
27,1881265.720246481,0.9775911507097059,0,0,0,0,25679492.358291503,3720374.440492962,42156.99999999993
28,1807496.9979800591,0.9766765864357663,0,0,0,0,24183970.152250398,3572836.9959601182,42156.99999999986
29,1739310.440404563,0.9757622336871651,0,0,0,0,22828473.764183853,3436463.8808091264,42156.99999999978
30,1676095.5382607502,0.9748480924639026,0,0,0,0,21595306.691226993,3310034.0765215005,42156.99999999982
31,1617327.6776613959,0.9739341627659786,0,0,0,0,20469547.83459967,3192498.3553227917,42156.999999999854
32,1562553.5471083603,0.9730204445933933,0,0,0,0,19438537.414006397,3082950.0942167207,42156.99999999981
33,1511379.4218292576,0.9721069379461471,0,0,0,0,18491471.750214975,2980601.8436585153,42156.99999999979
34,1463461.6846129072,0.9711936428242394,0,0,0,0,17619081.153868902,2884766.369225815,42156.99999999977
35,1418499.1004019745,0.97028055922767,0,0,0,0,16813371.856050268,2794841.200803949,42156.9999999999
36,1376226.477422583,0.9693676871564395,0,0,0,0,16067417.725359526,2710295.954845166,42156.9999999998
37,1336409.4329556755,0.9684550266105477,0,0,0,0,15375191.008734966,2630661.865911351,42156.999999999796
38,1298840.0455054152,0.9675425775899946,0,0,0,0,14731423.896206122,2555523.0910108304,42156.99999999987
39,1263333.223045695,0.9666303400947803,0,0,0,0,14131494.609219864,2484509.44609139,42156.999999999876
40,1229723.6534281962,0.9657183141249048,0,0,0,0,13571333.132920178,2417290.3068563924,42156.99999999982
41,1197863.2309126433,0.9648064996803678,0,0,0,0,13047342.784693366,2353569.4618252865,42156.99999999977
42,1167618.8742942165,0.9638948967611695,0,0,0,0,12556334.626677688,2293080.7485884335,42156.99999999978
43,1138870.668827998,0.9629835053673098,0,0,0,0,12095472.354968674,2235584.337655996,42156.999999999876
44,1111510.2772423737,0.9620723254987887,0,0,0,0,11662225.780873666,2180863.554484748,42156.99999999983
45,1085439.5754481296,0.9611613571556067,0,0,0,0,11254331.394795962,2128722.150896259,42156.99999999981
46,1060569.4767272219,0.9602506003377631,0,0,0,0,10869758.79697146,2078981.953454444,42156.999999999796
47,1036818.9147064611,0.9593400550452582,0,0,0,0,10506682.010513058,2031480.8294129225,42156.99999999983
48,1014113.9606500337,0.9584297212780921,0,0,0,0,10163454.875364166,1986070.9213000676,42156.999999999825
49,992387.0548206036,0.9575195990362645,0,0,0,0,9838589.86765676,1942617.1096412074,42156.99999999981
50,971576.3350742032,0.9566096883197756,0,0,0,0,9530739.805795988,1900995.6701484066,42156.99999999986
