step,a_km,e,i_deg,Omega_deg,omega_deg,nu_deg,period_s,r_apogee_km,r_perigee_km
0,2381571.0,0.9971569186893862,0,0,0,0,36576868.51967341,4756371.0,6770.999999999907
1,2382024.599688208,0.9967766078581131,0,0,0,0,36587318.79354744,4756371.0,7678.19937641635
2,2382506.8532355707,0.9963724316429965,0,0,0,0,36598430.30177726,4756371.0,8642.706471141357
3,2383017.7953480254,0.9959443900440368,0,0,0,0,36610204.04450087,4756371.0,9664.590696050958
4,2383557.46281909,0.9954924830612335,0,0,0,0,36622641.08219883,4756371.0,10743.925638180346
5,2384125.8945365013,0.9950167106945869,0,0,0,0,36635742.535917625,4756371.0,11880.789073002285
6,2384723.1314892406,0.9945170729440966,0,0,0,0,36649509.58750618,4756371.0,13075.262978480952
7,2385349.216774948,0.9939935698097628,0,0,0,0,36663943.47986542,4756371.0,14327.433549895626
8,2386004.1956077227,0.9934462012915855,0,0,0,0,36679045.51721094,4756371.0,15637.391215445588
9,2386688.115326319,0.9928749673895649,0,0,0,0,36694817.065349124,4756371.0,17005.23065263783
10,2387401.025402734,0.9922798681037013,0,0,0,0,36711259.55196649,4756371.0,18431.05080546792
11,2388142.977451198,0.9916609034339936,0,0,0,0,36728374.46693266,4756371.0,19914.95490239558
12,2388914.0252375575,0.9910180733804428,0,0,0,0,36746163.3626169,4756371.0,21457.05047511479
13,2389714.2246890734,0.9903513779430482,0,0,0,0,36764627.85421839,4756371.0,23057.449378146528
14,2390543.633904616,0.9896608171218104,0,0,0,0,36783769.62011039,4756371.0,24716.2678092317
15,2391402.3131652796,0.9889463909167289,0,0,0,0,36803590.40219846,4756371.0,26433.62633055933
16,2392290.3249454056,0.9882080993278042,0,0,0,0,36824092.00629269,4756371.0,28209.649890811288
17,2393207.733924028,0.9874459423550359,0,0,0,0,36845276.30249434,4756371.0,30044.467848056127
18,2394154.606996739,0.9866599199984243,0,0,0,0,36867145.22559684,4756371.0,31938.213993477562
19,2395131.013287981,0.9858500322579693,0,0,0,0,36889700.77550143,4756371.0,33891.026575962234
20,2396137.0241637733,0.985016279133671,0,0,0,0,36912945.01764754,4756371.0,35903.048327546305
21,2397172.713244867,0.9841586606255288,0,0,0,0,36936880.083458066,4756371.0,37974.426489733836
22,2398238.1564203454,0.9832771767335431,0,0,0,0,36961508.17079975,4756371.0,40105.31284069088
23,2399264.0,0.982429194953119,0,0,0,0,36985226.06981427,4756371.0,42156.99999999995
24,2280422.3924531615,0.981513512523156,0,0,0,0,34271583.12578732,4518687.784906323,42157.000000000015
25,2172821.89617855,0.9805980416185314,0,0,0,0,31874796.06861992,4303486.7923571,42156.999999999985
26,2074939.6150801992,0.9796827822392458,0,0,0,0,29745372.692632556,4107722.2301603984,42156.99999999998
27,1985515.854267083,0.9787677343852984,0,0,0,0,27843335.471276913,3928874.708534166,42156.999999999854
28,1903499.613986032,0.97785289805669,0,0,0,0,26136077.592289485,3764842.227972064,42156.99999999997
29,1828007.089983075,0.9769382732534203,0,0,0,0,24596767.43856455,3613857.17996615,42156.999999999985
30,1758289.6978789452,0.9760238599754895,0,0,0,0,23203145.770398635,3474422.395757891,42156.99999999992
31,1693709.1654876692,0.9751096582228971,0,0,0,0,21936608.15810683,3345261.3309753384,42156.999999999854
32,1633717.935146797,0.9741956679956434,0,0,0,0,20781497.360617444,3225278.870293594,42156.99999999989
33,1577843.6006743696,0.9732818892937284,0,0,0,0,19724552.109238606,3113530.201348739,42157.00000000003
34,1525676.4420436563,0.972368322117152,0,0,0,0,18754473.720983345,3009195.8840873125,42156.999999999985
35,1476859.3615299184,0.9714549664659142,0,0,0,0,17861582.40499703,2911561.723059837,42157.00000000002
36,1431079.6983638767,0.9705418223400156,0,0,0,0,17037542.50496127,2820002.3967277533,42156.99999999993
37,1388062.5251545752,0.9696288897394552,0,0,0,0,16275141.20142997,2733968.0503091505,42156.999999999905
38,1347565.1223001736,0.9687161686642337,0,0,0,0,15568109.021119356,2652973.2446003477,42156.9999999999
39,1309372.3957553932,0.9678036591143507,0,0,0,0,14910973.297539825,2576587.7915107864,42156.9999999999
40,1273293.0554575163,0.9668913610898064,0,0,0,0,14298937.794852456,2504429.1109150327,42156.99999999996
41,1239156.4110609202,0.965979274590601,0,0,0,0,13727783.249255707,2436155.8221218404,42156.99999999998
42,1206809.671695526,0.9650673996167343,0,0,0,0,13193784.743149498,2371462.343391052,42156.99999999993
43,1176115.6596165465,0.9641557361682059,0,0,0,0,12693642.708387367,2310074.319233093,42157.0
44,1146950.8655748162,0.9632442842450167,0,0,0,0,12224425.028857272,2251744.7311496325,42156.99999999996
45,1119203.7877695034,0.9623330438471657,0,0,0,0,11783518.231938375,2196250.575539007,42156.999999999985
46,1092773.5072814678,0.9614220149746534,0,0,0,0,11368586.161364213,2143390.0145629356,42156.99999999994
47,1067568.4616188025,0.9605111976274802,0,0,0,0,10977534.838794354,2092979.923237605,42156.99999999992
