step,a_km,e,i_deg,Omega_deg,omega_deg,nu_deg,period_s,r_apogee_km,r_perigee_km
0,56571.0,0.8803096993159039,45,0,0,0,133906.60671429697,106371.0,6771.000000000003
1,56571.0,0.8803096993159039,30.0,0,0,0,133906.60671429697,106371.0,6771.000000000003
2,56571.0,0.8803096993159039,15.0,0,0,0,133906.60671429697,106371.0,6771.000000000003
3,56571.0,0.8803096993159039,0.0,0,0,0,133906.60671429697,106371.0,6771.000000000003
4,59155.88605088554,0.7981473544069697,0.0,0,0,0,143188.50895832173,106371.0,11940.772101771083
5,62769.22858898594,0.6946360882737503,0.0,0,0,0,156506.1500531678,106371.0,19167.45717797189
6,67761.90151595105,0.5697759009162462,0.0,0,0,0,175545.45833477678,106371.0,29152.80303190209
7,74264.00000000001,0.4323359905203057,0.0,0,0,0,201408.93236500697,106371.0,42157.00000000003
8,58623.106555400336,0.28088082537624337,0.0,0,0,0,141258.4590825684,75089.21311080064,42157.00000000003
9,48899.603703866684,0.1378866737795973,0.0,0,0,0,107614.11300345385,55642.207407733345,42157.00000000003
10,42298.85070720008,0.0033535357303668967,0.0,0,0,0,86577.30688155064,42440.70141440013,42157.00000000003
11,42157.00000000001,4.440892098500626e-16,0.0,0,0,0,86142.16207248704,42157.00000000003,42156.999999999985
