no,mission,sat_ver,date_raw,deployed,w_dtc,working,outcome
382,Group 17-14,v2 mini,"23 April 2026, 03:23",24,,24,Success
383,Group 17-16,v2 mini,"26 April 2026, 14:37",25,,25,Success
384,Group 17-36,v2 mini,"30 April 2026, 02:42",24,,24,Success
385,Group 10-38,v2 mini,"1 May 2026, 18:06",29,,29,Success
386,Group 17-29,v2 mini,"6 May 2026, 03:59",24,,24,Success
387,Group 17-42,v2 mini,"20 May 2026, 02:46",24,,24,Success
388,Group 10-31,v2 mini,"21 May 2026, 10:04",29,,29,Success
389,Group 10-47,v2 mini,"25 May 2026, 11:48",29,,29,Success
390,Group 17-37,v2 mini,"26 May 2026, 14:50",24,,24,Success
391,Group 10-53,v2 mini,"29 May 2026, 12:57",29,,29,Success
392,Group 17-41,v2 mini,"30 May 2026, 15:25",24,,24,Success
393,Group 17-47,v2 mini,"3 June 2026, 15:40",24,,24,Success
394,Group 10-43,v2 mini,"4 June 2026, 10:26",29,,29,Success
395,Group 17-43,v2 mini,"7 June 2026, 04:24",21,,21,Success
396,Group 10-35,v2 mini,"8 June 2026, 10:13",29,,29,Success
397,Group 17-44,v2 mini,"11 June 2026, 15:05",24,,24,Success
398,Group 10-54,v2 mini,"12 June 2026, 12:27",29,,29,Success
399,Group 17-54,v2 mini,"15 June 2026, 15:34",24,,24,Success
400,Group 17-28,v2 mini,"21 June 2026, 16:39",24,,24,Success
401,Group 17-45,v2 mini,"25 June 2026, 03:30",24,,24,Success
402,Group 17-40,v2 mini,"28 June 2026, 16:09",24,,24,Success
403,Group 17-46,v2 mini,"2 July 2026, 02:58",24,,24,Success
404,Group 10-50,v2 mini,"5 July 2026, 10:50",29,,29,Success
405,Group 10-42,v2 mini,"9 July 2026, 09:25",29,,29,Success
406,Group 17-48,v2 mini,"11 July 2026, 03:01",24,,24,Success
407,Group 15-14,v2 mini,"14 July 2026, 01:28",27,,27,Success
408,Group 10-45,v2 mini,"14 July 2026, 09:10",29,,29,Success
409,Group 17-39,v2 mini,"21 July 2026, 14:49",24,,24,Success
410,Group 17-51,v2 mini,"25 July 2026, 15:51",24,,24,Success
411,Group 17-52,v2 mini,"1 August 2026, 03:08",24,,24,Success
412,Group 17-53,v2 mini,"4 August 2026, 17:05",24,,24,Success
413,Group 17-38,v2 mini,"8 August 2026, 16:35",24,,24,Success
414,Group 10-19,v2 mini,"11 August 2026, 15:58",29,,29,Success
415,Group 17-49,v2 mini,"12 August 2026, 04:46",24,,24,Success
416,Group 17-50,v2 mini,"19 August 2026, 04:01",24,,24,Success
417,Group 10-39,v2 mini,"21 August 2026, 15:14",29,,29,Success
418,Group 15-20,v2 mini,"22 August 2026, 07:25",27,,27,Success
419,Group 10-49,v2 mini,"25 August 2026, 09:33",29,,29,Success
420,Group 15-22,v2 mini,"26 August 2026, 09:35",27,,27,Success
421,Group 15-23,v2 mini,"2 September 2026, 09:35",27,,27,Success
