no,mission,sat_ver,date_raw,deployed,w_dtc,working,outcome
88,Group 5-7,v1.5,"22 June 2023, 07:19",47,,47,Success
89,Group 5-12,v1.5,"23 June 2023, 15:35",56,,56,Success
90,Group 5-13,v1.5,"7 July 2023, 19:29",48,,47,Success
91,Group 6-5,v2 mini,"10 July 2023, 03:58",22,,22,Success
92,Group 5-15,v1.5,"16 July 2023, 03:50",54,,54,Success
93,Group 6-15,v2 mini,"19 July 2023, 04:09",15,,15,Success
94,Group 6-6,v2 mini,"24 July 2023, 00:50",22,,22,Success
95,Group 6-7,v2 mini,"28 July 2023, 04:01",22,,20,Success
96,Group 6-8,v2 mini,"7 August 2023, 02:41",22,,22,Success
97,Group 6-20,v2 mini,"8 August 2023, 03:57",15,,15,Success
98,Group 6-9,v2 mini,"11 August 2023, 05:17",22,,21,Success
99,Group 6-10,v2 mini,"17 August 2023, 03:36",22,,22,Success
100,Group 7-1,v2 mini,"22 August 2023, 09:37",21,,21,Success
101,Group 6-11,v2 mini,"27 August 2023, 01:05",22,,21,Success
102,Group 6-13,v2 mini,"1 September 2023, 02:21",22,,22,Success
103,Group 6-12,v2 mini,"4 September 2023, 02:47",21,,21,Success
104,Group 6-14,v2 mini,"9 September 2023, 03:12",22,,22,Success
105,Group 7-2,v2 mini,"12 September 2023, 06:57",21,,21,Success
106,Group 6-16,v2 mini,"16 September 2023, 03:38",22,,22,Success
107,Group 6-17,v2 mini,"20 September 2023, 03:38",22,,22,Success
108,Group 6-18,v2 mini,"24 September 2023, 03:38",22,,21,Success
109,Group 7-3,v2 mini,"25 September 2023, 08:48",21,,21,Success
110,Group 6-19,v2 mini,"30 September 2023, 02:00",22,,22,Success
111,Group 6-21,v2 mini,"5 October 2023, 05:36",22,,22,Success
112,Group 7-4,v2 mini,"9 October 2023, 07:23",21,,21,Success
113,Group 6-22,v2 mini,"13 October 2023, 23:01",22,,22,Success
114,Group 6-23,v2 mini,"18 October 2023, 00:39",22,,22,Success
115,Group 7-5,v2 mini,"21 October 2023, 08:23",21,,21,Success
116,Group 6-24,v2 mini,"22 October 2023, 02:17",23,,23,Success
117,Group 7-6,v2 mini,"29 October 2023, 09:00",22,,22,Success
118,Group 6-25,v2 mini,"30 October 2023, 23:20",23,,23,Success
119,Group 6-26,v2 mini,"4 November 2023, 00:37",23,,23,Success
120,Group 6-27,v2 mini,"8 November 2023, 05:05",23,,23,Success
121,Group 6-28,v2 mini,"18 November 2023, 05:05",23,,23,Success
122,Group 7-7,v2 mini,"20 November 2023, 10:30",22,,22,Success
123,Group 6-29,v2 mini,"22 November 2023, 07:47",23,,23,Success
124,Group 6-30,v2 mini,"28 November 2023, 04:20",23,,23,Success
125,Group 6-31,v2 mini,"3 December 2023, 04:00",23,,23,Success
126,Group 6-33,v2 mini,"7 December 2023, 05:07",23,,23,Success
127,Group 7-8,v2 mini,"8 December 2023, 08:03",22,,22,Success
128,Group 6-34,v2 mini,"19 December 2023, 04:00",23,,23,Success
129,Group 6-32,v2 mini,"23 December 2023, 04:00",23,,22,Success
130,Group 6-36,v2 mini,"29 December 2023, 04:00",23,,22,Success
131,Group 7-9,v2 mini,"3 January 2024, 03:44",21,6,21,Success
132,Group 6-35,v2 mini,"7 January 2024, 22:35",23,,23,Success
133,Group 7-10,v2 mini,"14 January 2024, 08:59",22,,22,Success
134,Group 6-37,v2 mini,"15 January 2024, 01:52",23,,23,Success
135,Group 7-11,v2 mini,"24 January 2024, 00:35",22,,22,Success
136,Group 6-38,v2 mini,"29 January 2024, 01:10",23,,23,Success
137,Group 7-12,v2 mini,"29 January 2024, 05:02",22,,22,Success
138,Group 7-13,v2 mini,"10 February 2024, 00:34",22,,21,Success
139,Group 7-14,v2 mini,"15 February 2024, 21:34",22,,22,Success
140,Group 7-15,v2 mini,"23 February 2024, 04:11",22,,22,Success
141,Group 6-39,v2 mini,"25 February 2024, 22:06",24,,24,Success
142,Group 6-40,v2 mini,"29 February 2024, 15:30",23,,22,Success
143,Group 6-41,v2 mini,"4 March 2024, 23:54",23,,23,Success
144,Group 6-43,v2 mini,"11 March 2024, 00:03",23,,23,Success
145,Group 7-17,v2 mini,"11 March 2024, 04:09",23,,23,Success
146,Group 6-44,v2 mini,"16 March 2024, 00:21",23,,23,Success
147,Group 7-16,v2 mini,"19 March 2024, 02:28",20,,20,Success
148,Group 6-42,v2 mini,"24 March 2024, 03:09",23,,23,Success
