step,a_km,e,i_deg,Omega_deg,omega_deg,nu_deg,period_s,r_apogee_km,r_perigee_km
0,33571.0,0.7983080635071937,28.5,0,0,0,61214.969610983244,60371.0,6770.999999999999
1,33571.0,0.7983080635071937,23.75,0,0,0,61214.969610983244,60371.0,6770.999999999999
2,33571.0,0.7983080635071937,19.0,0,0,0,61214.969610983244,60371.0,6770.999999999999
3,33571.0,0.7983080635071937,14.25,0,0,0,61214.969610983244,60371.0,6770.999999999999
4,33571.0,0.7983080635071937,9.5,0,0,0,61214.969610983244,60371.0,6770.999999999999
5,33571.0,0.7983080635071937,4.75,0,0,0,61214.969610983244,60371.0,6770.999999999999
6,33571.0,0.7983080635071937,0.0,0,0,0,61214.969610983244,60371.0,6770.999999999999
7,34265.92696946969,0.7618376427927791,0.0,0,0,0,63125.51708192653,60371.0,8160.853938939385
8,35051.77122304378,0.7223380700462525,0.0,0,0,0,65309.47217863892,60371.0,9732.542446087566
9,35939.19760601295,0.6798093452676135,0.0,0,0,0,67805.32253164113,60371.0,11507.395212025905
10,36941.07128874431,0.6342514684568619,0.0,0,0,0,70660.2955913294,60371.00000000001,13511.142577488612
11,38072.998606625915,0.5856644396139978,0.0,0,0,0,73932.74745981896,60371.0,15774.997213251829
12,39354.04225785218,0.5340482587390212,0.0,0,0,0,77695.38849709556,60371.0,18337.084515704366
13,40807.67919669401,0.47940292583193256,0.0,0,0,0,82039.7004128933,60371.0,21244.358393388015
14,42463.10213931702,0.42172844089273154,0.0,0,0,0,87082.0809736294,60371.00000000001,24555.204278634043
15,44357.01673184618,0.3610248039214179,0.0,0,0,0,92972.54419761566,60371.0,28343.03346369236
16,46536.16865422265,0.29729201491799184,0.0,0,0,0,99907.28527516862,60371.0,32701.33730844531
17,49060.97078109035,0.2305300738824536,0.0,0,0,0,108147.2367505261,60371.00000000001,37750.94156218069
18,51264.00000000003,0.1776490324594251,0.0,0,0,0,115512.75880312154,60371.0,42157.00000000006
19,47267.72889603481,0.10812300517496365,0.0,0,0,0,102272.37117225496,52378.45779206955,42157.00000000006
20,43946.145645258206,0.04071223127735657,0.0,0,0,0,91683.75822710112,45735.29129051635,42157.00000000006
21,42157.00000000002,8.881784197001252e-16,0.0,0,0,0,86142.16207248707,42157.00000000006,42156.999999999985
