step,a_km,e,i_deg,Omega_deg,omega_deg,nu_deg,period_s,r_apogee_km,r_perigee_km
0,85571.0,0.9208727255729161,28.5,0,0,0,249115.71903036497,164371.0,6770.999999999995
1,85571.0,0.9208727255729161,19.0,0,0,0,249115.71903036497,164371.0,6770.999999999995
2,85571.0,0.9208727255729161,9.5,0,0,0,249115.71903036497,164371.0,6770.999999999995
3,85571.0,0.9208727255729161,0.0,0,0,0,249115.71903036497,164371.0,6770.999999999995
4,87402.48487769996,0.8806215890772453,0.0,0,0,0,257156.13575642247,164371.0,10433.96975539992
5,89716.13626054642,0.8321230366257291,0.0,0,0,0,267434.273333928,164371.0,15061.272521092853
6,92583.71246450205,0.7753770682183676,0.0,0,0,0,280358.100060527,164371.0,20796.42492900411
7,96101.82881861455,0.7103836838551607,0.0,0,0,0,296489.078128768,164371.0,27832.6576372291
8,100401.13276183367,0.6371428835361084,0.0,0,0,0,316605.9994991382,164371.0,36431.26552366732
9,103263.99999999997,0.5917551131081504,0.0,0,0,0,330243.7725086706,164371.0,42156.99999999994
10,86166.97047459187,0.5107522085573286,0.0,0,0,0,251722.74388843068,130176.9409491838,42156.99999999995
11,74202.3764730838,0.4318645573933607,0.0,0,0,0,201158.29369079357,106247.75294616766,42156.99999999994
12,65369.03005383588,0.35509215961624696,0.0,0,0,0,166329.50023037195,88581.0601076718,42156.99999999994
13,58586.78631123192,0.2804350152259871,0.0,0,0,0,141127.20332146768,75016.5726224639,42156.99999999994
14,53221.353442519554,0.2078931242225811,0.0,0,0,0,122191.24593663978,64285.70688503916,42156.99999999994
15,48875.782036708304,0.13746648660602911,0.0,0,0,0,107535.48551516133,55594.564073416666,42156.99999999994
16,45288.9628633315,0.06915510237633138,0.0,0,0,0,95917.92699006377,48420.92572666305,42156.99999999994
17,42282.11156449502,0.0029589715334873423,0.0,0,0,0,86525.9194389813,42407.2231289901,42156.99999999994
18,42156.99999999995,2.220446049250313e-16,0.0,0,0,0,86142.16207248687,42156.999999999956,42156.99999999994
