step,a_km,e,i_deg,Omega_deg,omega_deg,nu_deg,period_s,r_apogee_km,r_perigee_km
0,101071.0,0.933007489784409,28.5,0,0,0,319779.8284119595,195371.0,6771.000000000003
1,101071.0,0.933007489784409,14.25,0,0,0,319779.8284119595,195371.0,6771.000000000003
2,101071.0,0.933007489784409,0.0,0,0,0,319779.8284119595,195371.0,6771.000000000003
3,103269.01302299062,0.8918646966879102,0.0,0,0,0,330267.82067234855,195371.0,11167.026045981238
4,106126.8830268167,0.8409190435813765,0.0,0,0,0,344072.0022890646,195371.0,16882.766053633382
5,109748.47446159447,0.7801705304648074,0.0,0,0,0,361833.65517501853,195371.0,24125.94892318894
6,114277.49809740284,0.7096191573382036,0.0,0,0,0,384461.0137324408,195371.0,33183.99619480567
7,118763.99999999999,0.6450355326529926,0.0,0,0,0,407322.5422021784,195371.0,42156.99999999998
8,96396.43230293732,0.5626705367319347,0.0,0,0,0,297853.4687468417,150635.86460587467,42156.99999999997
9,81450.33557647443,0.48242079419773043,0.0,0,0,0,231339.89711333057,120743.6711529489,42156.99999999998
10,70767.21646220547,0.4042863050503802,0.0,0,0,0,187352.45636081471,99377.43292441095,42156.99999999998
11,62758.57274919382,0.32826706928988414,0.0,0,0,0,156466.29851160865,83360.14549838766,42156.99999999998
12,56538.24168340824,0.2543630869162419,0.0,0,0,0,133790.31250181713,70919.4833668165,42156.99999999998
13,51572.886670420485,0.18257435792945376,0.0,0,0,0,116558.3476608066,60988.77334084099,42156.99999999998
14,47522.31082215947,0.11290088232951978,0.0,0,0,0,103099.73450999116,52887.62164431896,42156.99999999998
15,44159.300137096165,0.04534266011643939,0.0,0,0,0,92351.61485753307,46161.60027419236,42156.99999999998
16,42156.99999999998,0.0,0.0,0,0,0,86142.16207248696,42156.99999999998,42156.99999999998
