step,a_km,e,i_deg,Omega_deg,omega_deg,nu_deg,period_s,r_apogee_km,r_perigee_km
0,67571.0,0.8997942904500451,28.5,0,0,0,174804.15061955992,128371.0,6771.000000000002
1,67571.0,0.8997942904500451,19.0,0,0,0,174804.15061955992,128371.0,6771.000000000002
2,67571.0,0.8997942904500451,9.5,0,0,0,174804.15061955992,128371.0,6771.000000000002
3,67571.0,0.8997942904500451,0.0,0,0,0,174804.15061955992,128371.0,6771.000000000002
4,68992.73874175358,0.8606450815136493,0.0,0,0,0,180350.0631801715,128371.0,9614.477483507162
5,70725.68911032434,0.8150547787488542,0.0,0,0,0,187187.56836046948,128371.0,13080.378220648685
6,72812.98779091629,0.7630233821556598,0.0,0,0,0,195534.99716536023,128371.0,17254.97558183258
7,75310.7464391434,0.7045508917340657,0.0,0,0,0,205682.17178448968,128371.0,22250.492878286805
8,78292.31465645156,0.6396373074840722,0.0,0,0,0,218016.77971258573,128371.0,28213.629312903122
9,81854.5060647951,0.5682826294056795,0.0,0,0,0,233063.95364039595,128371.0,35338.0121295902
10,85264.00000000001,0.5055709326327638,0.0,0,0,0,247776.3069072697,128370.99999999999,42157.00000000004
11,73549.38412623547,0.4268204893783414,0.0,0,0,0,198508.80815719895,104941.76825247091,42157.00000000003
12,64875.41751250202,0.35018529951077326,0.0,0,0,0,164449.088217923,87593.83502500401,42157.00000000004
13,58200.999715204176,0.2756653630300594,0.0,0,0,0,139735.54336229007,74244.99943040832,42157.00000000004
14,52911.911008263305,0.20326067993619934,0.0,0,0,0,121127.1201715639,63666.822016526574,42157.00000000004
15,48622.378451860975,0.1329712502291932,0.0,0,0,0,106700.27043794932,55087.75690372192,42157.00000000004
16,45077.91712779544,0.06479707390904133,0.0,0,0,0,95248.24501647177,47998.83425559084,42157.00000000004
17,42157.0,8.881784197001252e-16,0.0,0,0,0,86142.16207248702,42157.00000000004,42156.99999999996
