step,a_km,e,i_deg,Omega_deg,omega_deg,nu_deg,period_s,r_apogee_km,r_perigee_km
0,80571.0,0.915962318948505,28.5,0,0,0,227603.7179189996,154371.0,6771.000000000005
1,80571.0,0.915962318948505,19.0,0,0,0,227603.7179189996,154371.0,6771.000000000005
2,80571.0,0.915962318948505,9.5,0,0,0,227603.7179189996,154371.0,6771.000000000005
3,80571.0,0.915962318948505,0.0,0,0,0,227603.7179189996,154371.0,6771.000000000005
4,82286.9508133259,0.8760082670969565,0.0,0,0,0,234913.3377691683,154371.0,10202.901626651787
5,84433.77871913995,0.8283085554360752,0.0,0,0,0,244166.2089241397,154371.0,14496.557438279913
6,87074.4011134999,0.7728631839658615,0.0,0,0,0,255709.5602468232,154371.0,19777.80222699981
7,90292.7498453111,0.7096721526863152,0.0,0,0,0,270016.64732476353,154371.0,26214.499690622215
8,94201.29338601085,0.6387354615974363,0.0,0,0,0,287737.53565034387,154371.0,34031.586772021685
9,98264.0,0.57098225189286,0.0,0,0,0,306551.10041423794,154371.0,42157.00000000001
10,82744.59364325482,0.49051656254720677,0.0,0,0,0,236875.78274127186,123332.18728650962,42157.00000000001
11,71715.83997930362,0.41216612658840723,0.0,0,0,0,191132.1985529574,101274.67995860724,42157.00000000001
12,63482.855615915134,0.33593094401646195,0.0,0,0,0,159182.71306452068,84808.71123183025,42157.00000000001
13,57108.68198659157,0.2618110148313707,0.0,0,0,0,135820.219171941,72060.36397318312,42157.00000000001
14,52033.23850953216,0.18980633903313338,0.0,0,0,0,118122.46641529263,61909.47701906432,42157.00000000001
15,47901.15932938731,0.11991691662174997,0.0,0,0,0,104335.05709199385,53645.31865877461,42157.00000000001
16,44476.106389578956,0.05214274759722071,0.0,0,0,0,93347.2142339443,46795.212779157904,42157.00000000001
17,42156.99999999999,4.440892098500626e-16,0.0,0,0,0,86142.162072487,42157.000000000015,42156.99999999997
