step,a_km,e,i_deg,Omega_deg,omega_deg,nu_deg,period_s,r_apogee_km,r_perigee_km
0,85071.0,0.9204076594844307,28.5,0,0,0,246935.49913882252,163371.0,6770.999999999995
1,85071.0,0.9204076594844307,19.0,0,0,0,246935.49913882252,163371.0,6770.999999999995
2,85071.0,0.9204076594844307,9.5,0,0,0,246935.49913882252,163371.0,6770.999999999995
3,85071.0,0.9204076594844307,0.0,0,0,0,246935.49913882252,163371.0,6770.999999999995
4,86890.87215135462,0.8801859845004798,0.0,0,0,0,254901.53793559305,163371.0,10410.74430270923
5,89187.64986508356,0.8317670691753343,0.0,0,0,0,265074.71400213824,163371.0,15004.29973016711
6,92032.17526844496,0.7751509135089949,0.0,0,0,0,277856.622195554,163371.0,20693.35053688992
7,95519.74293276323,0.7103375175014612,0.0,0,0,0,293799.423089408,163371.0,27668.48586552645
8,99779.09840763213,0.6373268811527335,0.0,0,0,0,313668.2668372222,163371.0,36187.196815264266
9,102763.99999999999,0.5897687906270681,0.0,0,0,0,327848.138313823,163371.0,42156.99999999996
10,85827.49980995819,0.5088171029874429,0.0,0,0,0,250236.6477532266,129497.99961991642,42156.999999999956
11,73957.14090330919,0.42998066873467167,0.0,0,0,0,200161.88920957266,105757.28180661841,42156.99999999996
12,65183.79351415191,0.3532594878687545,0.0,0,0,0,165623.00824402692,88210.58702830385,42156.99999999996
13,58442.09894870256,0.27865356038969114,0.0,0,0,0,140604.72943514315,74727.19789740515,42156.99999999996
14,53105.3528139752,0.20616288629748203,0.0,0,0,0,121791.97381856688,64053.70562795044,42156.99999999996
15,48780.82453280361,0.13578746559212673,0.0,0,0,0,107222.25247196,55404.64906560725,42156.99999999996
16,45209.902576183464,0.06752729827362569,0.0,0,0,0,95666.87282938256,48262.805152366964,42156.99999999996
17,42215.357849682376,0.0013823843419783488,0.0,0,0,0,86321.09359105566,42273.71569936479,42156.99999999996
18,42156.99999999996,0.0,0.0,0,0,0,86142.16207248691,42156.99999999996,42156.99999999996
