step,a_km,e,i_deg,Omega_deg,omega_deg,nu_deg,period_s,r_apogee_km,r_perigee_km
0,84571.0,0.9199370942758156,28.5,0,0,0,244761.67692946398,162371.0,6770.999999999998
1,84571.0,0.9199370942758156,19.0,0,0,0,244761.67692946398,162371.0,6770.999999999998
2,84571.0,0.9199370942758156,9.5,0,0,0,244761.67692946398,162371.0,6770.999999999998
3,84571.0,0.9199370942758156,0.0,0,0,0,244761.67692946398,162371.0,6770.999999999998
4,86379.27260469632,0.8797449330589999,0.0,0,0,0,252653.62573368696,162371.0,10387.54520939265
5,88659.21918291111,0.8314057071156418,0.0,0,0,0,262722.38284658344,162371.0,14947.438365822227
6,91480.77287088695,0.7749194164457405,0.0,0,0,0,275363.2372942817,162371.0,20590.54574177391
7,94937.91927438266,0.7102860610492965,0.0,0,0,0,291119.15698043565,162371.0,27504.838548765318
8,99157.52101357616,0.6375056409263091,0.0,0,0,0,310741.8250880389,162371.0,35944.042027152325
9,102264.0,0.5877630446687006,0.0,0,0,0,325458.32505244564,162371.0,42157.00000000001
10,85487.41864503865,0.5068631072480438,0.0,0,0,0,248750.82302263065,128817.8372900773,42157.0
11,73711.1550099673,0.42807842321424094,0.0,0,0,0,199164.09434149967,105265.31001993461,42157.00000000001
12,64997.81760291186,0.35140899256729197,0.0,0,0,0,164914.70543880883,87838.63520582372,42157.00000000001
13,58296.730576873866,0.27685481530719735,0.0,0,0,0,140080.44731397036,74436.46115374773,42157.00000000001
14,52988.74065745677,0.20441589143395655,0.0,0,0,0,121391.03612238876,63820.48131491353,42157.00000000001
15,48685.32310234324,0.13409222094756978,0.0,0,0,0,106907.53254475251,55213.646204686476,42157.00000000001
16,45130.359770725845,0.06588380384803694,0.0,0,0,0,95414.5078740337,48103.71954145168,42157.00000000001
17,42156.99999999999,4.440892098500626e-16,0.0,0,0,0,86142.162072487,42157.000000000015,42156.99999999997
