step,a_km,e,i_deg,Omega_deg,omega_deg,nu_deg,period_s,r_apogee_km,r_perigee_km
0,81571.0,0.9169925586299053,28.5,0,0,0,231854.16444645982,156371.0,6770.999999999999
1,81571.0,0.9169925586299053,19.0,0,0,0,231854.16444645982,156371.0,6770.999999999999
2,81571.0,0.9169925586299053,9.5,0,0,0,231854.16444645982,156371.0,6770.999999999999
3,81571.0,0.9169925586299053,0.0,0,0,0,231854.16444645982,156371.0,6770.999999999999
4,83309.95214995343,0.8769786317790773,0.0,0,0,0,239307.63164841867,156371.0,10248.904299906872
5,85489.80474715811,0.8291186938896145,0.0,0,0,0,248761.23769563992,156371.0,14608.609494316215
6,88175.18676589489,0.773412744961516,0.0,0,0,0,260573.83425929624,156371.0,19979.373531789784
7,91452.47459457767,0.7098607849947829,0.0,0,0,0,275235.47762267373,156371.0,26533.949189155326
8,95437.62523316583,0.6384628139894142,0.0,0,0,0,293420.63835841464,156371.0,34504.25046633166
9,99264.0,0.5753042392005159,0.0,0,0,0,311242.48840561206,156371.0,42156.99999999999
10,83434.01906056372,0.49472648597451896,0.0,0,0,0,239842.40346443254,124711.03812112744,42156.99999999999
11,72219.2891970115,0.4162639861353761,0.0,0,0,0,193148.36476492515,102281.57839402302,42156.99999999999
12,63866.18557749817,0.3399167396830871,0.0,0,0,0,160626.68224468574,85575.37115499635,42156.99999999999
13,57409.94730236036,0.26568474661765196,0.0,0,0,0,136896.37351475662,72662.89460472071,42156.99999999999
14,52275.951800953495,0.19356800693907095,0.0,0,0,0,118949.91731266105,62394.903601907004,42156.99999999999
15,48100.627136171985,0.12356652064734408,0.0,0,0,0,104987.43594393446,54044.254272343984,42156.99999999999
16,44642.71946544223,0.055680287742471024,0.0,0,0,0,93872.24073974013,47128.438930884455,42156.99999999999
17,42156.99999999999,0.0,0.0,0,0,0,86142.162072487,42156.99999999999,42156.99999999999
