step,a_km,e,i_deg,Omega_deg,omega_deg,nu_deg,period_s,r_apogee_km,r_perigee_km
0,33071.0,0.7952586858577001,28.5,0,0,0,59852.488534033015,59370.99999999999,6771.0
1,33071.0,0.7952586858577001,23.75,0,0,0,59852.488534033015,59370.99999999999,6771.0
2,33071.0,0.7952586858577001,19.0,0,0,0,59852.488534033015,59370.99999999999,6771.0
3,33071.0,0.7952586858577001,14.25,0,0,0,59852.488534033015,59370.99999999999,6771.0
4,33071.0,0.7952586858577001,9.5,0,0,0,59852.488534033015,59370.99999999999,6771.0
5,33071.0,0.7952586858577001,4.75,0,0,0,59852.488534033015,59370.99999999999,6771.0
6,33071.0,0.7952586858577001,0.0,0,0,0,59852.488534033015,59370.99999999999,6771.0
7,33755.713220891645,0.7588430027084976,0.0,0,0,0,61720.88633283461,59370.99999999999,8140.426441783298
8,34529.09779860864,0.7194483431418348,0.0,0,0,0,63854.141098251624,59370.99999999999,9687.195597217276
9,35401.52370470209,0.6770747071577101,0.0,0,0,0,66289.40994508775,59370.99999999999,11432.047409404191
10,36385.485120781865,0.6317220947561248,0.0,0,0,0,69072.22971690938,59370.99999999999,13399.970241563733
11,37496.119736339584,0.5833905059370781,0.0,0,0,0,72258.7945461881,59370.99999999999,15621.239472679175
12,38751.89435144719,0.5320799407005707,0.0,0,0,0,75919.02594190153,59370.99999999999,18132.788702894388
13,40175.52153424685,0.4777903990466017,0.0,0,0,0,80140.76910436401,59370.99999999999,20980.04306849371
14,41795.20273157813,0.4205218809751716,0.0,0,0,0,85035.61860735202,59371.0,24219.405463156265
15,43646.34120132261,0.36027438648628074,0.0,0,0,0,90747.14828235314,59370.99999999999,27921.68240264523
16,45773.94503845633,0.2970479155799284,0.0,0,0,0,97462.7669807973,59370.99999999999,32176.890076912674
17,48236.06719072518,0.23084246825611499,0.0,0,0,0,105431.17784194664,59370.999999999985,37101.13438145038
18,50764.00000000004,0.16954928689622473,0.0,0,0,0,113826.91730960655,59370.99999999999,42157.00000000008
19,46854.980804050276,0.10026641188259944,0.0,0,0,0,100935.71588832304,51552.96160810048,42157.00000000008
20,43600.110926693545,0.03309879025582807,0.0,0,0,0,90603.00718023814,45043.22185338702,42157.00000000008
21,42157.000000000044,8.881784197001252e-16,0.0,0,0,0,86142.16207248716,42157.00000000008,42157.00000000001
