step,a_km,e,i_deg,Omega_deg,omega_deg,nu_deg,period_s,r_apogee_km,r_perigee_km
0,381571.0,0.9822549407580765,28.5,0,0,0,2345709.6878552656,756371.0,6770.999999999987
1,381571.0,0.9822549407580765,0.0,0,0,0,2345709.6878552656,756371.0,6770.999999999987
2,392597.94147050614,0.9265791286804856,0.0,0,0,0,2448123.0803156435,756371.0,28824.88294101226
3,399264.00000000006,0.8944132203253985,0.0,0,0,0,2510738.3214981635,756371.0,42157.0000000001
4,217245.96899654082,0.8059480680137666,0.0,0,0,0,1007717.5252434758,392334.9379930815,42157.0000000001
5,150344.95268106577,0.7195981690889893,0.0,0,0,0,580155.6154964372,258532.90536213145,42157.0000000001
6,115613.77624792844,0.6353635235510658,0.0,0,0,0,391224.1008564124,189070.5524958568,42157.0000000001
7,94362.49854334815,0.5532441313999961,0.0,0,0,0,288476.45247030025,146567.99708669618,42157.00000000011
8,80030.75292474,0.4732399926357801,0.0,0,0,0,225318.35675678376,117904.5058494799,42157.0000000001
9,69721.45406378411,0.3953511072584185,0.0,0,0,0,183214.9359110851,97285.90812756811,42157.0000000001
10,61957.090583676785,0.3195774752679109,0.0,0,0,0,153478.57022754214,81757.18116735348,42157.0000000001
11,55905.14202589527,0.24591909666425726,0.0,0,0,0,131549.39462901672,69653.28405179044,42157.0000000001
12,51060.77166129527,0.17437597144745742,0.0,0,0,0,114826.5408593679,59964.54332259044,42157.0000000001
13,47100.06199862252,0.10494809961751184,0.0,0,0,0,101728.68705311936,52043.12399724494,42157.0000000001
14,43805.64658747637,0.03763548117442006,0.0,0,0,0,91244.43026549251,45454.29317495264,42157.0000000001
15,42157.00000000005,1.1102230246251565e-15,0.0,0,0,0,86142.16207248718,42157.000000000095,42157.00000000001
