step,a_km,e,i_deg,Omega_deg,omega_deg,nu_deg,period_s,r_apogee_km,r_perigee_km
0,1381571.0,0.9950990575221975,28.5,0,0,0,16161104.333411094,2756371.0,6771.000000000055
1,1381571.0,0.9950990575221975,0.0,0,0,0,16161104.333411094,2756371.0,6771.000000000055
2,1399264.0,0.9698720184325473,0.0,0,0,0,16472545.37116152,2756371.0,42157.00000000009
3,350261.42411040206,0.8796413275967488,0.0,0,0,0,2063002.1702830899,658365.848220804,42157.000000000095
4,202216.9564838946,0.7915258901478045,0.0,0,0,0,904977.0706361872,362276.9129677891,42157.00000000008
5,143160.20403557175,0.7055257060857141,0.0,0,0,0,539069.405190501,244163.4080711434,42157.000000000095
6,111420.56876169915,0.6216407754104774,0.0,0,0,0,370134.25322741136,180684.1375233982,42157.00000000008
7,91619.97828857614,0.5398710981220944,0.0,0,0,0,275992.0027486675,141082.9565771522,42157.00000000009
8,78099.8559729988,0.460216674220566,0.0,0,0,0,217213.37852510225,114042.71194599752,42157.00000000009
9,68290.07569475546,0.38267750370589126,0.0,0,0,0,177601.90194049352,94423.15138951085,42157.00000000008
10,60854.880203217486,0.30725358657807056,0.0,0,0,0,149401.28708155185,79552.76040643489,42157.00000000009
11,55031.291165290066,0.23394492283710389,0.0,0,0,0,128477.11474650784,67905.58233058004,42157.00000000009
12,50351.83775013229,0.16275151248299125,0.0,0,0,0,112443.46247316226,58546.67550026449,42157.00000000009
13,46514.13511514817,0.0936733555157323,0.0,0,0,0,99836.33883009269,50871.27023029626,42157.00000000009
14,43313.93477288105,0.02671045193532784,0.0,0,0,0,89712.44199820622,44470.86954576202,42157.00000000009
15,42157.00000000006,6.661338147750939e-16,0.0,0,0,0,86142.16207248719,42157.00000000009,42157.00000000003
