step,a_km,e,i_deg,Omega_deg,omega_deg,nu_deg,period_s,r_apogee_km,r_perigee_km
0,64071.0,0.894320363346912,28.5,0,0,0,161399.97931999416,121371.0,6771.000000000001
1,64071.0,0.894320363346912,19.0,0,0,0,161399.97931999416,121371.0,6771.000000000001
2,64071.0,0.894320363346912,9.5,0,0,0,161399.97931999416,121371.0,6771.000000000001
3,64071.0,0.894320363346912,0.0,0,0,0,161399.97931999416,121371.0,6771.000000000001
4,65415.05535579883,0.855398567498741,0.0,0,0,0,166505.19610993183,121371.0,9459.110711597667
5,67041.47026381358,0.8103869071247296,0.0,0,0,0,172753.3652868112,121371.0,12711.940527627163
6,68988.80717493847,0.7592853822248775,0.0,0,0,0,180334.64746610777,121371.0,16606.61434987694
7,71306.8728950737,0.7020939927991854,0.0,0,0,0,189499.60455559098,121371.0,21242.745790147397
8,74060.32252674777,0.6388127388476523,0.0,0,0,0,200580.92035977324,121371.0,26749.645053495544
9,77333.87366862672,0.5694416203702792,0.0,0,0,0,214025.67139610866,121371.0,33296.74733725345
10,81240.00871517292,0.49398063736706543,0.0,0,0,0,230444.40228471035,121371.0,41109.017430345855
11,81764.0,0.4844063401986205,0.0,0,0,0,232677.5142658547,121371.0,42156.99999999999
12,70997.53649722454,0.4062188340626719,0.0,0,0,0,188267.840293627,99838.07299444909,42156.99999999999
13,62934.664247395405,0.3301465813135773,0.0,0,0,0,157125.29301284978,83712.32849479083,42156.99999999999
14,56677.07654673093,0.25618958195133723,0.0,0,0,0,134283.41657286952,71197.15309346188,42156.99999999999
15,51685.02194859255,0.18434783597595084,0.0,0,0,0,116938.70463872644,61213.04389718511,42156.99999999999
16,47614.65581437297,0.11462134338741836,0.0,0,0,0,103400.39437937537,53072.31162874595,42156.99999999999
17,44236.56555558748,0.04701010418574003,0.0,0,0,0,92594.1019390056,46316.13111117496,42156.99999999999
18,42156.99999999999,0.0,0.0,0,0,0,86142.162072487,42156.99999999999,42156.99999999999
