step,a_km,e,i_deg,Omega_deg,omega_deg,nu_deg,period_s,r_apogee_km,r_perigee_km
0,56571.0,0.8803096993159039,28.5,0,0,0,133906.60671429697,106371.0,6771.000000000003
1,56571.0,0.8803096993159039,21.375,0,0,0,133906.60671429697,106371.0,6771.000000000003
2,56571.0,0.8803096993159039,14.25,0,0,0,133906.60671429697,106371.0,6771.000000000003
3,56571.0,0.8803096993159039,7.125,0,0,0,133906.60671429697,106371.0,6771.000000000003
4,56571.0,0.8803096993159039,0.0,0,0,0,133906.60671429697,106371.0,6771.000000000003
5,57750.78182903451,0.8418971420144725,0.0,0,0,0,138117.28199244154,106371.0,9130.563658069024
6,59155.88605088554,0.7981473544069697,0.0,0,0,0,143188.50895832173,106371.0,11940.772101771083
7,60816.08380260794,0.7490603364933959,0.0,0,0,0,149258.43966505514,106371.0,15261.167605215873
8,62769.22858898594,0.6946360882737503,0.0,0,0,0,156506.1500531678,106371.0,19167.45717797189
9,65063.7054155449,0.6348746097480338,0.0,0,0,0,165165.5282235856,106371.0,23756.4108310898
10,67761.90151595105,0.5697759009162462,0.0,0,0,0,175545.45833477678,106371.0,29152.80303190209
11,70945.21770355,0.4993399617783869,0.0,0,0,0,188059.773959416,106371.0,35519.435407100005
12,74264.00000000001,0.4323359905203057,0.0,0,0,0,201408.93236500697,106371.0,42157.00000000003
13,65415.549858352795,0.3555507812548475,0.0,0,0,0,166507.0841477822,88674.09971670556,42157.00000000003
14,58623.106555400336,0.28088082537624337,0.0,0,0,0,141258.4590825684,75089.21311080064,42157.00000000003
15,53250.46236665106,0.20832612288449326,0.0,0,0,0,122291.50669046406,64343.92473330209,42157.00000000003
16,48899.603703866684,0.1378866737795973,0.0,0,0,0,107614.11300345385,55642.207407733345,42157.00000000003
17,45308.7918382434,0.06956247806155502,0.0,0,0,0,95980.92784778016,48460.58367648678,42157.00000000003
18,42298.85070720008,0.0033535357303668967,0.0,0,0,0,86577.30688155064,42440.70141440013,42157.00000000003
19,42157.00000000001,4.440892098500626e-16,0.0,0,0,0,86142.16207248704,42157.00000000003,42156.999999999985
