step,a_km,e,i_deg,Omega_deg,omega_deg,nu_deg,period_s,r_apogee_km,r_perigee_km
0,44571.0,0.8480850777411322,28.5,0,0,0,93646.12003116116,82371.0,6770.999999999998
1,44571.0,0.8480850777411322,22.8,0,0,0,93646.12003116116,82371.0,6770.999999999998
2,44571.0,0.8480850777411322,17.1,0,0,0,93646.12003116116,82371.0,6770.999999999998
3,44571.0,0.8480850777411322,11.400000000000002,0,0,0,93646.12003116116,82371.0,6770.999999999998
4,44571.0,0.8480850777411322,5.700000000000002,0,0,0,93646.12003116116,82371.0,6770.999999999998
5,44571.0,0.8480850777411322,1.7763568394002505e-15,0,0,0,93646.12003116116,82371.0,6770.999999999998
6,45494.20522033525,0.8105822401131069,1.7763568394002505e-15,0,0,0,96570.69227594529,82371.0,8617.410440670503
7,46565.00649684738,0.768946386930641,1.7763568394002505e-15,0,0,0,100000.16647768853,82371.0,10759.012993694763
8,47801.80749244149,0.7231775181937348,1.7763568394002505e-15,0,0,0,104010.62331328695,82371.0,13232.614984882977
9,49227.39465696732,0.6732756339023875,1.7763568394002505e-15,0,0,0,108697.98626000811,82371.0,16083.789313934643
10,50870.13824907937,0.6192407340566,1.7763568394002505e-15,0,0,0,114184.09077398412,82371.0,19369.27649815874
11,52765.635923952206,0.5610728186563723,1.7763568394002505e-15,0,0,0,120625.18322244393,82371.0,23160.27184790441
12,54958.99721358669,0.4987718877017038,1.7763568394002505e-15,0,0,0,128224.02962781323,82371.0,27546.99442717338
13,57508.076572639126,0.4323379411925945,1.7763568394002505e-15,0,0,0,137247.51335979803,82371.0,32645.15314527825
14,60488.14467516592,0.36177097912904466,1.7763568394002505e-15,0,0,0,148052.7971426615,82371.0,38605.289350331834
15,62264.00000000002,0.32293138892457884,1.7763568394002505e-15,0,0,0,154620.38393945523,82371.0,42157.00000000004
16,56147.80427404873,0.2491781193394802,1.7763568394002505e-15,0,0,0,132406.82972241746,70138.60854809741,42157.00000000004
17,51257.21042571316,0.17754010314123547,1.7763568394002505e-15,0,0,0,115489.8112232948,60357.42085142629,42157.00000000004
18,47262.12953017404,0.10801734032984445,1.7763568394002505e-15,0,0,0,102254.19883320092,52367.25906034804,42157.00000000004
19,43941.45505970795,0.040609830905307676,1.7763568394002505e-15,0,0,0,91669.07983962243,45725.910119415865,42157.00000000004
20,42157.0,8.881784197001252e-16,1.7763568394002505e-15,0,0,0,86142.16207248702,42157.00000000004,42156.99999999996
