step,a_km,e,i_deg,Omega_deg,omega_deg,nu_deg,period_s,r_apogee_km,r_perigee_km
0,48071.0,0.8591458467683218,28.5,0,0,0,104890.4518224276,89371.0,6771.000000000001
1,48071.0,0.8591458467683218,21.375,0,0,0,104890.4518224276,89371.0,6771.000000000001
2,48071.0,0.8591458467683218,14.25,0,0,0,104890.4518224276,89371.0,6771.000000000001
3,48071.0,0.8591458467683218,7.125,0,0,0,104890.4518224276,89371.0,6771.000000000001
4,48071.0,0.8591458467683218,0.0,0,0,0,104890.4518224276,89371.0,6771.000000000001
5,49068.23797805105,0.8213615096587932,0.0,0,0,0,108171.26673895752,89371.0,8765.475956102111
6,50234.02578297403,0.7790929276922651,0.0,0,0,0,112049.05481446191,89371.0,11097.051565948062
7,51589.75420310483,0.7323401008687376,0.0,0,0,0,116615.5350497292,89371.0,13808.50840620966
8,53162.11942295795,0.6811030291882103,0.0,0,0,0,121987.30906028204,89371.0,16953.238845915897
9,54984.62256859846,0.6253817126506838,0.0,0,0,0,128313.71928994406,89371.0,20598.24513719692
10,57099.64333936079,0.5651761512561575,0.0,0,0,0,135787.97584843944,89371.0,24828.286678721568
11,59561.35508832246,0.500486345004632,0.0,0,0,0,144663.2027949183,89371.0,29751.710176644912
12,62439.902445557476,0.4313122938961067,0.0,0,0,0,155276.0751258366,89371.0,35508.80489111496
13,65764.00000000003,0.3589653913995492,0.0,0,0,0,167839.25850045565,89371.0,42157.000000000065
14,58894.952367876154,0.2842001172413833,0.0,0,0,0,142242.1583269973,75632.90473575224,42157.000000000065
15,53468.20363761998,0.21155009647007117,0.0,0,0,0,123042.34833907674,64779.4072752399,42157.000000000065
16,49077.709332256236,0.14101532908561298,0.0,0,0,0,108202.58774809947,55998.41866451241,42157.000000000065
17,45456.98702448779,0.07259581508800861,0.0,0,0,0,96452.2117442505,48756.97404897551,42157.000000000065
18,42423.91235572455,0.0062915544772584875,0.0,0,0,0,86961.55490976517,42690.82471144902,42157.000000000065
19,42157.00000000001,1.3322676295501878e-15,0.0,0,0,0,86142.16207248704,42157.000000000065,42156.99999999995
