step,a_km,e,i_deg,Omega_deg,omega_deg,nu_deg,period_s,r_apogee_km,r_perigee_km
0,54071.0,0.8747757577999298,28.5,0,0,0,125128.95670713954,101371.0,6770.999999999997
1,54071.0,0.8747757577999298,21.375,0,0,0,125128.95670713954,101371.0,6770.999999999997
2,54071.0,0.8747757577999298,14.25,0,0,0,125128.95670713954,101371.0,6770.999999999997
3,54071.0,0.8747757577999298,7.125,0,0,0,125128.95670713954,101371.0,6770.999999999997
4,54071.0,0.8747757577999298,0.0,0,0,0,125128.95670713954,101371.0,6770.999999999997
5,55196.69024180098,0.8365412773106959,0.0,0,0,0,129056.76555932219,101371.0,9022.38048360196
6,56530.138447787904,0.793220444588647,0.0,0,0,0,133761.55067051484,101371.0,11689.276895575813
7,58098.48099233074,0.7448132596337833,0.0,0,0,0,139366.49817724145,101371.0,14825.96198466148
8,59936.03613478249,0.6913197224461043,0.0,0,0,0,146030.39080513976,101371.0,18501.072269564982
9,62086.43774688255,0.6327398330256109,0.0,0,0,0,153959.44437191088,101371.0,22801.8754937651
10,64605.63771986088,0.5690735913723024,0.0,0,0,0,163424.38066946564,101371.0,27840.275439721765
11,67566.2076114707,0.5003209974861793,0.0,0,0,0,174785.5543011896,101371.0,33761.415222941396
12,71063.63511748282,0.42648205136724116,0.0,0,0,0,188530.81717370002,101371.0,40756.270234965625
13,71764.00000000001,0.41256061535031474,0.0,0,0,0,191324.76010915896,101371.00000000001,42157.00000000002
14,63519.5566933069,0.33631463765486047,0.0,0,0,0,159320.77446657766,84882.11338661378,42157.00000000002
15,57137.545199369575,0.26218391334626046,0.0,0,0,0,135923.19921894962,72118.09039873912,42157.00000000002
16,52056.50435037598,0.19016844242451436,0.0,0,0,0,118201.70016371472,61956.00870075193,42157.00000000002
17,47920.2879703995,0.12026822488962241,0.0,0,0,0,104397.5603940255,53683.57594079897,42157.00000000002
18,44492.089958215045,0.05248326074158427,0.0,0,0,0,93397.5386362136,46827.179916430076,42157.00000000002
19,42157.0,4.440892098500626e-16,0.0,0,0,0,86142.16207248702,42157.00000000002,42156.99999999998
