step,a_km,e,i_deg,Omega_deg,omega_deg,nu_deg,period_s,r_apogee_km,r_perigee_km
0,98071.0,0.9309581833569557,28.5,0,0,0,305648.400009249,189371.0,6770.999999999999
1,98071.0,0.9309581833569557,14.25,0,0,0,305648.400009249,189371.0,6770.999999999999
2,98071.0,0.9309581833569557,0.0,0,0,0,305648.400009249,189371.0,6770.999999999999
3,100197.08445468168,0.8899851331068516,0.0,0,0,0,315641.3179008545,189371.0,11023.168909363358
4,102946.42134685352,0.8395102765346198,0.0,0,0,0,328721.4942428394,189371.0,16521.84269370703
5,106416.0848373174,0.7795336136402609,0.0,0,0,0,345479.3837525076,189371.0,23461.169674634795
6,110739.7036975735,0.7100551444237742,0.0,0,0,0,366746.73560797225,189371.0,32108.40739514699
7,115764.00000000001,0.6358367022563143,0.0,0,0,0,391986.85908437584,189371.0,42157.00000000004
8,94460.00118879342,0.5537052776895215,0.0,0,0,0,288923.6822848952,146763.00237758682,42157.00000000003
9,80099.04511081072,0.4736891065095826,0.0,0,0,0,225606.82271662913,118041.09022162142,42157.00000000004
10,69771.88994443463,0.39578818871649757,0.0,0,0,0,183413.77594619786,97386.77988886922,42157.00000000004
11,61995.81837747188,0.320002524310267,0.0,0,0,0,153622.4960101248,81834.63675494371,42157.00000000004
12,55935.778535129764,0.24633211329089022,0.0,0,0,0,131657.54477929982,69714.5570702595,42157.00000000004
13,51085.58260589186,0.17477695565836737,0.0,0,0,0,114910.2440890709,60014.165211783686,42157.00000000004
14,47120.53859676111,0.10533705141269856,0.0,0,0,0,101795.03358451724,52084.07719352218,42157.00000000004
15,43822.81021530088,0.03801240055388366,0.0,0,0,0,91298.06166774356,45488.62043060172,42157.00000000004
16,42156.99999999999,1.1102230246251565e-15,0.0,0,0,0,86142.162072487,42157.00000000004,42156.99999999995
