step,a_km,e,i_deg,Omega_deg,omega_deg,nu_deg,period_s,r_apogee_km,r_perigee_km
0,96071.0,0.9295208751860603,28.5,0,0,0,296346.422025778,185371.0,6771.000000000001
1,96071.0,0.9295208751860603,14.25,0,0,0,296346.422025778,185371.0,6771.000000000001
2,96071.0,0.9295208751860603,0.0,0,0,0,296346.422025778,185371.0,6771.000000000001
3,98149.39539495033,0.8886616596472392,0.0,0,0,0,306014.9642575725,185371.0,10927.790789900673
4,100827.23136623212,0.8385013402448962,0.0,0,0,0,318623.63221491704,185371.0,16283.462732464252
5,104197.21234517133,0.7790399169790303,0.0,0,0,0,334730.5656495652,185371.0,23023.424690342665
6,108386.51150986491,0.7102773898496426,0.0,0,0,0,355119.1388493354,185371.0,31402.023019729815
7,113570.2961662578,0.6322137588567325,0.0,0,0,0,380897.70739444206,185371.0,41769.5923325156
8,113764.0,0.6294346190358988,0.0,0,0,0,381872.6031176572,185371.0,42157.00000000001
9,93157.67006279188,0.5474661402374645,0.0,0,0,0,282969.1877436535,144158.34012558375,42157.00000000001
10,79184.86600067069,0.4676129148258843,0.0,0,0,0,221755.551225237,116212.73200134138,42157.00000000001
11,69095.6706376688,0.3898749428011582,0.0,0,0,0,180753.8164551401,96034.34127533759,42157.00000000001
12,61475.95586228802,0.314252224163286,0.0,0,0,0,151694.2630166826,80794.91172457603,42157.00000000001
13,55524.14750486886,0.24074475891226788,0.0,0,0,0,130206.92125196976,68891.29500973772,42157.00000000001
14,50751.97648555404,0.16935254704810354,0.0,0,0,0,113786.47964090033,59346.95297110808,42157.00000000001
15,46845.04550004234,0.10007558857079335,0.0,0,0,0,100903.61341460313,51533.09100008467,42157.00000000001
16,43591.774589541295,0.03291388348033719,0.0,0,0,0,90577.0234925432,45026.549179082576,42157.00000000001
17,42156.99999999999,4.440892098500626e-16,0.0,0,0,0,86142.162072487,42157.000000000015,42156.99999999997
