step,a_km,e,i_deg,Omega_deg,omega_deg,nu_deg,period_s,r_apogee_km,r_perigee_km
0,59071.0,0.8853752264224408,28.5,0,0,0,142880.41588947902,111371.0,6770.999999999998
1,59071.0,0.8853752264224408,21.375,0,0,0,142880.41588947902,111371.0,6770.999999999998
2,59071.0,0.8853752264224408,14.25,0,0,0,142880.41588947902,111371.0,6770.999999999998
3,59071.0,0.8853752264224408,7.125,0,0,0,142880.41588947902,111371.0,6770.999999999998
4,59071.0,0.8853752264224408,0.0,0,0,0,142880.41588947902,111371.0,6770.999999999998
5,60305.20705209783,0.846789115636172,0.0,0,0,0,147381.65889618028,111371.0,9239.414104195666
6,61783.02432652617,0.8026148964705753,0.0,0,0,0,152832.23579178954,111371.0,12195.048653052334
7,63537.00361021288,0.7528525689256509,0.0,0,0,0,159386.41993046808,111371.0,15703.007220425758
8,65608.75408332003,0.6975021330013991,0.0,0,0,0,167245.2942650205,111371.0,19846.50816664006
9,68051.74010294072,0.6365635886978198,0.0,0,0,0,176672.95509046348,111371.0,24732.48020588143
10,70935.27384310034,0.5700369360149122,0.0,0,0,0,188020.23694733687,111371.0,30499.547686200673
11,74350.32464454867,0.49792217495267743,0.0,0,0,0,201760.21170748086,111371.0,37329.649289097346
12,76763.99999999999,0.4508233025897559,0.0,0,0,0,211664.30081369865,111371.0,42156.99999999997
13,67293.71559699393,0.3735373411022773,0.0,0,0,0,173729.26558098212,92430.4311939879,42156.99999999997
14,60084.08662254977,0.29836663300165234,0.0,0,0,0,146571.79838376652,78011.17324509956,42156.99999999997
15,54417.97895938392,0.22531117828788183,0.0,0,0,0,126335.33426217463,66678.95791876788,42156.99999999997
16,49852.830084397385,0.15437097696096502,0.0,0,0,0,110776.06850036494,57548.660168794806,42156.99999999997
17,46100.73479681306,0.08554602902090236,0.0,0,0,0,98508.33817551483,50044.46959362616,42156.99999999997
18,42966.328127457426,0.018836334467693505,0.0,0,0,0,88634.65984205197,43775.65625491487,42156.99999999997
19,42156.99999999998,2.220446049250313e-16,0.0,0,0,0,86142.16207248696,42156.999999999985,42156.99999999997
