step,a_km,e,i_deg,Omega_deg,omega_deg,nu_deg,period_s,r_apogee_km,r_perigee_km
0,1756571.0,0.9961453308747554,28.5,0,0,0,23169133.072798308,3506371.0,6770.999999999979
1,1756571.0,0.9961453308747554,0.0,0,0,0,23169133.072798308,3506371.0,6770.999999999979
2,1774264.0,0.9762397253170891,0.0,0,0,0,23520068.503403094,3506371.0,42157.00000000016
3,369349.86320381187,0.8858616065691152,0.0,0,0,0,2233922.6676256843,696542.7264076236,42157.000000000175
4,208284.27773427143,0.7975987412079948,0.0,0,0,0,946010.4941944688,374411.5554685427,42157.00000000016
5,146100.0345904938,0.7114511292337287,0.0,0,0,0,555759.2493959701,250043.06918098743,42157.00000000017
6,113148.48059611014,0.6274187706463161,0.0,0,0,0,378777.6199645309,184139.9611922201,42157.00000000016
7,92755.01535411878,0.5455016654457576,0.0,0,0,0,281136.5581654805,143353.03070823738,42157.00000000017
8,78901.33875223588,0.46569981363205293,0.0,0,0,0,220565.59985342028,115645.6775044716,42157.00000000016
9,68885.47440470567,0.38801321520520227,0.0,0,0,0,179929.6361329471,95613.94880941119,42157.00000000016
10,61314.08846860644,0.31244187016520586,0.0,0,0,0,151095.5366238356,80471.17693721272,42157.00000000016
11,55395.8110238396,0.23898577851206315,0.0,0,0,0,129755.74894548867,68634.62204767903,42157.00000000016
12,50647.8569523541,0.1676449402457746,0.0,0,0,0,113436.5036140202,59138.71390470805,42157.00000000016
13,46758.989615543316,0.09841935536633994,0.0,0,0,0,100625.69627883531,51360.97923108647,42157.00000000016
14,43519.55477956907,0.031309023873759556,0.0,0,0,0,90352.024210657,44882.10955913799,42157.00000000016
15,42157.000000000095,1.5543122344752192e-15,0.0,0,0,0,86142.1620724873,42157.00000000016,42157.00000000003
