city,year,house_price_real,wage_real
los_angeles,2005,530882.5908541732,46592.0
los_angeles,2006,578069.4429526563,47152.69789556373
los_angeles,2007,551377.0732157207,47550.9134972851
los_angeles,2008,444616.3485278794,46746.96024197741
los_angeles,2009,375036.0701114052,46707.90655187092
los_angeles,2010,368011.05431946943,47492.32416502796
los_angeles,2011,336949.9794231285,47130.070290721706
los_angeles,2012,322115.6661727996,47190.03685255312
los_angeles,2013,366683.7696284614,46115.94861739967
los_angeles,2014,405366.95563961356,46755.44290250582
los_angeles,2015,425420.9388627751,48626.80831119038
los_angeles,2016,436132.39272307727,48737.46002260365
los_angeles,2017,464967.0002731387,49832.946177602076
los_angeles,2018,501347.2427634153,49980.90079828912
los_angeles,2019,504666.07550324633,50798.60839792021
los_angeles,2020,524159.31644022564,54759.44755589422
los_angeles,2021,570384.1679594242,55345.875810081
los_angeles,2022,599187.1483024785,51979.21787079487
los_angeles,2023,574653.8851743405,51185.38117445511
los_angeles,2024,595635.7102415331,51659.75744199971
san_francisco,2005,606434.0043542678,58656.00000000001
san_francisco,2006,629158.7360284674,59444.640509364544
san_francisco,2007,593429.6794574229,60822.07473082194
san_francisco,2008,510460.76921089535,59058.72272750324
san_francisco,2009,442174.5101187403,59485.14542624291
san_francisco,2010,433070.78696543694,59831.01622751071
san_francisco,2011,392601.554842263,60086.32524612126
san_francisco,2012,384793.77391918475,64040.46238284623
san_francisco,2013,460491.1481952569,63899.792696699355
san_francisco,2014,522616.4807390368,65028.671046053976
san_francisco,2015,592807.113207781,67649.10160649304
san_francisco,2016,643646.5559989358,69340.88279257585
san_francisco,2017,668076.7660012594,71994.73022167283
san_francisco,2018,722003.9922556737,74890.4759534235
san_francisco,2019,715193.8281778005,77965.33876866096
san_francisco,2020,727883.4260976983,89160.61912216873
san_francisco,2021,787434.0894287024,96077.7424353742
san_francisco,2022,804858.6081995388,81612.229927977
san_francisco,2023,720434.0500460498,82276.50138003234
san_francisco,2024,720987.1326184067,84351.70920667371
toronto,2005,67.64166666666667,45700.0
toronto,2006,68.84667213991142,45400.0
toronto,2007,69.22099970091222,44700.0
toronto,2008,70.01701665327589,47100.0
toronto,2009,69.69890219924265,46200.0
toronto,2010,70.25018245563825,46200.0
toronto,2011,71.44558506570256,44300.0
toronto,2012,73.99085850284227,46500.0
toronto,2013,75.10315680553673,45400.0
toronto,2014,75.25074072841068,46300.0
toronto,2015,76.78703252567819,44800.0
toronto,2016,80.510753002272,46500.0
toronto,2017,84.98671969842182,47300.0
toronto,2018,82.97479851305762,47000.0
toronto,2019,80.67375597499695,47500.0
toronto,2020,80.8349574079708,46700.0
toronto,2021,83.41191961395872,48000.0
toronto,2022,81.62966416882472,49100.0
toronto,2023,78.3431721741898,48900.0
toronto,2024,75.94992228784582,51900.0
vancouver,2005,85.225,41100.0
vancouver,2006,89.28744272185735,41800.0
vancouver,2007,93.65711641991925,41200.0
vancouver,2008,93.58261449127166,40900.0
vancouver,2009,87.41381262743955,40300.0
vancouver,2010,88.69678734974244,39900.0
vancouver,2011,85.91915455746368,43600.0
vancouver,2012,84.18209369221286,43100.0
vancouver,2013,82.54306554485005,40700.0
vancouver,2014,80.05140322258474,42200.0
vancouver,2015,79.92134086120623,44900.0
vancouver,2016,82.44123336579034,45700.0
vancouver,2017,86.20335441824804,42100.0
vancouver,2018,87.34576252655256,44300.0
vancouver,2019,84.49569647015568,46500.0
vancouver,2020,85.00721022208701,47000.0
vancouver,2021,91.19283528511741,48400.0
vancouver,2022,90.90723593586425,50000.0
vancouver,2023,87.31402429321594,49900.0
vancouver,2024,85.44920474562223,51100.0
