step,a_km,e,i_deg,Omega_deg,omega_deg,nu_deg,period_s,r_apogee_km,r_perigee_km
0,86571.0,0.9217867415185224,45,0,0,0,253495.2771485679,166371.0,6771.000000000001
1,86571.0,0.9217867415185224,22.5,0,0,0,253495.2771485679,166371.0,6771.000000000001
2,86571.0,0.9217867415185224,0.0,0,0,0,253495.2771485679,166371.0,6771.000000000001
3,90773.27621506841,0.8328191615098093,0.0,0,0,0,272175.00325710105,166371.0,15175.552430136824
4,97266.78795495526,0.7104605127605041,0.0,0,0,0,301896.50322934496,166371.0,28162.575909910516
5,104264.0,0.595670605386327,0.0,0,0,0,335052.44736271503,166371.0,42157.0
6,74690.61026908146,0.43557831636233,0.0,0,0,0,203146.91572486315,107224.22053816293,42157.0
7,58874.136980241914,0.2839470408857486,0.0,0,0,0,142166.75549748237,75591.27396048383,42157.0
8,49064.08366012935,0.14077677895658347,0.0,0,0,0,108157.52969625327,55971.1673202587,42157.0
9,42414.35036766755,0.006067530574834001,0.0,0,0,0,86932.1559771755,42671.70073533509,42157.0
10,42156.99999999999,2.220446049250313e-16,0.0,0,0,0,86142.162072487,42157.0,42156.999999999985
